,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,maxProfit,minProfit,lastProfit,imax,imin,hname,profit
3980,20250627,043710,0.008,0.066,-0.025,0.054,704,99,306065,107317,189988,318,578,1082,-0.018,0.06,-0.041,16,16,118815,50329,45002,104,143,135,103830,1106,0.0612911,-0.0101374,-0.000191682,301,33,서울리거,-0.000191682
3978,20250626,462860,-0.004,-0.002,-0.104,-0.065,12,581,7416639,4599238,2525922,14030,12874,4860,-0.037,-0.033,-0.109,0,30,1601787,884729,717058,3376,2844,467,132430,4560,-0.000903509,-0.066693,-0.0513421,14,180,더즌,-0.048
3975,20250626,250930,0.15,0.298,0.051,0.053,39,754,11345549,6054348,5066584,17549,22647,561,-0.012,-0.012,-0.07,0,35,418685,278151,140534,326,260,65,100330,543,0.00168324,-0.0369908,-0.0333076,61,618,예선테크,-0.0333076
3974,20250626,239890,0.002,0.016,0,0.006,7,21,29922,15165,13833,210,243,5170,0.008,0.201,0.006,22,2,368214,194317,150341,3342,3570,63,100230,5820,-0.0209003,-0.0724467,-0.0449553,0,195,피엔에이치테크,-0.048
3972,20250626,205500,-0.043,-0.012,-0.128,-0.062,24,506,6843877,3512452,3056486,11757,12537,4300,-0.064,-0.048,-0.11,1,19,940031,558793,381238,1698,1225,372,123700,3995,0.00300626,-0.0320375,-0.0182703,30,276,넥써쓰,-0.0182703
3965,20250626,008600,0.007,0.03,-0.009,0.002,34,493,384625,176714,122522,300,374,431,0.223,0.276,0.141,4,47,6647115,3847431,2559346,4234,4948,121,103130,528,0.00178788,-0.121318,-0.115636,0,316,윌비스,-0.048
3963,20250626,043360,-0,0.008,-0.042,-0.017,0,253,8955,4563,3542,42,29,2360,0.011,0.051,-0.025,20,1,5100,1681,3419,24,60,225,112330,2415,0.00628157,-0.0102816,-0.002,0,55,디지아이,-0.002
3962,20250626,042040,0,0.12,-0.114,-0.088,69,557,88307629,46895371,37170194,23068,34651,320,0.028,0.137,-0.013,26,1,23784796,11908925,11488641,3182,5633,81,101130,346,0.000890173,-0.111827,-0.103156,6,616,케이피엠테크,-0.048
3960,20250626,019660,-0.004,0.1,-0.018,0.009,24,1,93376,54848,37036,331,357,2735,0.013,0.015,-0.051,1,44,35585,27732,7853,49,47,424,130300,2710,0.0275203,-0.0333653,-0.0222952,0,17,글로본,-0.0222952
3959,20250626,002220,-0.006,0.09,-0.006,0.052,248,0,597990,282760,308196,1040,1548,2855,-0.026,-0.026,-0.098,0,20,70163,36326,33837,173,147,433,130730,2705,0.0294233,-0.00939372,-0.000151571,229,0,한일철강,-0.000151571
3956,20250625,454910,0.069,0.166,0.049,0.117,41,5,4305365,2102903,2135775,44134,49650,66000,0.032,0.033,-0.032,0,47,454252,300898,153354,5091,3238,73,100730,66600,0.0490511,-0.0155135,-0.005003,66,375,두산로보틱스,-0.005003
3951,20250625,317530,0.052,0.052,-0.011,0.015,0,3,6223,2360,3014,103,139,4970,0.036,0.036,-0.044,0,39,5897,5317,580,86,32,572,141700,4995,0.00901101,-0.02202,-0.02202,3,127,캐리소프트,-0.02202
3950,20250625,37550K,0.087,0.087,0.018,0.038,0,422,9560,5898,2938,138,145,23300,0.103,0.109,0.041,0,44,16588,10372,6216,281,228,167,105430,25250,0.0118614,-0.011901,-1.9802e-05,178,128,DL이앤씨우,-1.9802e-05
3949,20250625,375500,0.048,0.057,0.005,0.045,3,40,564471,284015,267967,12821,16022,48400,0.182,0.2,0.122,5,16,1093979,482557,590694,10557,13120,164,105300,56700,0.0703104,-0.039037,0.0703104,1055,352,DL이앤씨,0.0703104
3948,20250625,286750,0.006,0.019,-0.04,-0.04,5,753,283644,190776,76200,411,449,2300,-0.039,-0.02,-0.08,0,25,165171,112670,52501,206,260,133,103730,2205,0.0342812,-0.0156054,0.029746,544,68,나노실리칸첨단소재,0.029746
3947,20250625,223310,0.223,0.3,0.156,0.3,9,4,3356520,2336114,855494,5452,2911,4550,0.231,0.253,0.121,26,9,2006909,1123912,882997,5888,5811,342,122200,5480,0.038146,-0.0841168,-0.0403212,139,293,딥마인드,-0.048
3945,20250625,205500,0.017,0.16,-0.026,0.089,149,0,21959126,11386577,9863890,44500,46632,4585,-0.041,-0.012,-0.084,14,49,1240154,705269,534885,1770,1484,584,142300,4405,0.0025403,-0.0587537,-0.0258365,0,15,넥써쓰,-0.048
3944,20250625,179530,0.15,0.176,-0.006,0.01,5,706,1210687,667085,429200,3831,3606,3160,-0.002,0.038,-0.032,8,26,55361,25937,29424,120,130,424,130300,3200,0.0464375,-0.0129375,0.0308125,229,100,애드바이오텍,0.0308125
3943,20250625,052690,0.007,0.065,-0.031,0.03,161,40,2548533,1239512,1280617,31535,32297,115000,0.031,0.032,-0.052,0,47,482692,328904,153788,7799,5927,88,101500,115000,0.0223478,-0.0167826,-0.0150435,52,425,한전기술,-0.0150435
3942,20250625,065060,-0.009,-0,-0.084,-0.072,4,588,253837,154773,91081,520,499,1388,-0.022,-0.018,-0.084,4,48,59023,44040,14983,143,104,267,114430,1329,0.000257336,-0.0147916,-0.00350489,0,137,지엔코,-0.00350489
3932,20250624,290660,0,0.295,0,0.221,35,0,8258254,4269712,3787831,13864,15980,1400,0.028,0.057,-0.041,1,29,362773,251663,111110,602,294,532,135700,1427,0.00220463,-0.0167162,-0.0069054,10,55,네오펙트,-0.0069054
3931,20250624,267320,-0.003,0.036,-0.035,0.025,291,3,2275548,1195404,1016172,2850,3404,3845,0.138,0.234,0.135,10,0,5822658,2465906,3244903,11116,11266,195,110830,4600,0.0056087,-0.0367826,-0.0237391,297,140,나인테크,-0.0237391
3929,20250624,232830,-0.009,0.013,-0.095,-0.019,217,20,597896,331077,259836,1421,1484,3305,-0.009,0.029,-0.033,9,31,101809,70440,31369,241,155,61,100130,3325,0.0776992,-0.00651128,0.0295789,129,1,아이티센피엔에스,0.0295789
3927,20250624,160190,-0.019,0.106,-0.036,0.05,575,4,1008995,513246,482974,9992,10694,36500,0.253,0.3,0.219,28,9,2017401,1160546,843445,16260,15440,105,102330,46350,0.0217325,-0.0300475,0.0206537,1099,404,하이젠알앤엠,0.019795
3924,20250624,114630,-0.006,-0.006,-0.025,-0.008,0,75,298021,230872,60374,140,214,509,-0.002,0.098,-0.002,8,0,887813,394489,439674,537,696,131,103630,540,0.0017037,-0.0297778,-0.0057037,0,12,폴라리스우노,-0.0057037
3923,20250624,103140,0.144,0.217,0.058,0.075,3,205,2166622,1189748,913833,41077,38557,136000,-0.083,-0.079,-0.158,1,22,568470,336858,231612,9109,6985,59,100030,121200,0.0887591,-0.0366535,0.0252277,845,131,풍산,0.0252277
3922,20250624,096350,-0.041,0.207,-0.077,0.136,296,0,45314987,21233288,23052464,19184,25476,533,0.032,0.032,-0.041,0,39,3207493,2030091,1177402,997,787,619,144030,536,0.014791,-0.00573134,0.00173134,24,10,대창솔루션,0.00173134
3919,20250624,069920,0.006,0.006,-0.106,-0.093,0,742,422544,221280,194209,763,791,1613,0.019,0.044,-0.039,0,22,42384,25871,14589,169,105,226,112400,1633,0.104552,0.00841029,0.0390288,316,22,엑시온그룹,0.0390288
3918,20250624,066900,0.064,0.064,0.004,0.013,0,759,13469,7506,5654,78,104,2375,0.061,0.076,0.002,0,10,5206,2723,2483,48,63,213,111730,2490,0.0140643,-0.0180643,0.0100482,6,35,디에이피,0.0100482
3913,20250624,005810,0.077,0.208,0.064,0.149,145,26,1319755,576263,703088,11385,14413,51200,-0.088,-0.086,-0.149,0,42,177035,121000,56035,1879,1250,418,130000,45550,0.0265401,-0.00309769,0.0166608,163,0,풍산홀딩스,0.0166608
3910,20250624,003280,0.157,0.157,0.098,0.155,0,180,11154415,16326,32915,39,73,2230,-0.17,-0.157,-0.206,1,31,8132374,5123552,3008822,5756,5513,79,101030,1839,0.00887548,-0.0324513,-0.0324513,49,414,흥아해운,-0.0324513
3908,20250624,000157,-0.03,0.068,-0.03,0.021,105,0,14201,6217,7617,1183,1420,477000,0.009,0.011,-0.048,0,46,2244,1333,911,239,195,549,140530,472000,0.0446102,-0.000940678,0.0266017,45,0,두산2우B,0.0266017
3904,20250623,417860,-0.011,0.095,-0.036,0.024,37,62,425695,227709,180078,3942,3994,28050,-0.02,-0.002,-0.066,8,49,37295,27660,9635,345,228,94,101800,27350,0.0162815,-0.0458757,0.00714077,139,419,오브젠,0.00714077
3901,20250623,33626L,0.083,0.3,0.077,0.3,8,0,314620,180467,122982,2244,1831,11100,-0.056,0.07,-0.06,14,0,198628,95285,103343,2897,3956,245,113330,11320,0.207806,-0.00465018,-0.002,128,453,두산퓨얼셀2우B,0.12
3900,20250623,234340,-0.038,-0.019,-0.076,-0.021,759,36,841053,462429,354329,17070,6468,25750,0.043,0.076,0.01,14,38,546502,303526,242976,3008,3129,125,103330,27050,0.0220296,-0.0556044,-0.0223327,5,208,헥토파이낸셜,-0.048
3898,20250623,207760,-0.001,0.014,-0.047,-0.015,217,53,4611014,2407627,2001688,6722,6133,1840,-0.02,0.066,-0.02,27,0,2611940,1349143,1262797,3731,3706,558,141000,1901,-0.002,-0.0356665,-0.0325103,0,22,미스터블루,-0.0325103
3892,20250623,019175,-0.033,0.184,-0.113,-0.067,69,757,1001232,514263,395572,15477,15653,43350,-0.065,0.063,-0.073,14,0,71709,35546,33131,2292,2180,136,103900,43800,-0.00656621,-0.140128,-0.123005,0,506,신풍제약우,-0.048
3891,20250623,064260,0.002,0.046,-0.036,0.012,699,53,6125180,3018089,2809187,8920,11067,6140,0.002,0.028,-0.033,8,43,1796206,1088015,708191,2557,2720,76,100900,6180,0.0562524,-0.0181812,-0.00361812,84,266,다날,-0.00361812
3890,20250623,051160,0.002,0.09,-0.005,0.058,271,2,333072,147597,179888,2005,2099,11930,-0.065,-0.044,-0.104,1,31,93799,50051,43748,706,451,331,121630,11140,0.0240323,-0.010079,0.003386,166,94,지어소프트,0.003386
3888,20250623,049470,-0.014,-0.014,-0.05,-0.039,0,2,160465,96090,54177,190,272,420,0.012,0.069,0.005,10,42,60949,28089,32860,84,98,277,114930,440,0.220727,-0.0247273,0.0957273,361,29,SGA,0.12
3886,20250623,007160,0.005,0.016,-0.037,-0.026,12,505,44388,26518,17339,994,1263,60200,-0.032,0.03,-0.033,23,3,5901,2129,3772,109,117,312,120700,60600,0.00460066,-0.0201518,-0.00365017,4,203,사조산업,-0.00365017
3885,20250623,001465,0.013,0.034,-0.114,-0.097,4,441,36537,28488,6818,451,341,21400,-0.037,-0.005,-0.063,2,23,9620,4424,5196,105,95,428,130500,20850,0.0483597,-0.002,0.0483597,235,0,BYC우,0.0483597
3881,20250620,417860,-0,0.009,-0.081,-0.054,1,277,433256,254994,154735,4217,4418,27400,-0.022,0.095,-0.031,27,50,188405,93085,86070,1464,1673,358,123000,28650,0.0049808,-0.071808,-0.0229424,0,178,오브젠,-0.048
3880,20250620,355150,0.03,0.099,-0.018,-0.006,75,636,294285,147411,133913,1754,1830,11750,-0.024,0.053,-0.046,13,46,50955,37372,13583,416,177,85,101330,11930,0.0122498,-0.0380436,-0.0254702,21,529,코스텍시스,-0.0254702
3878,20250620,294570,0.018,0.018,-0.042,-0.015,0,69,214063,120367,65623,2206,2181,32500,-0.071,-0.071,-0.138,0,35,129301,90829,38472,1200,1039,275,114830,29350,0.0201465,-0.0309608,-0.00370358,42,291,쿠콘,-0.00370358
3875,20250620,267980,-0.003,0.009,-0.003,0.003,124,0,4323,1876,2406,159,269,38300,-0.004,0.042,-0.034,17,18,3155,1663,1492,68,76,301,120130,38800,0.00959794,-0.0174639,-0.0084433,113,398,매일유업,-0.0084433
3874,20250620,336260,0.027,0.052,0.012,0.038,207,33,795003,341287,443229,5236,7086,19400,0.152,0.268,0.137,20,0,4791971,2283121,2488213,25552,30575,137,103930,23650,0.0297125,-0.0358266,-0.0252558,384,137,두산퓨얼셀,-0.0252558
3873,20250620,256940,-0.022,0.005,-0.054,-0.024,23,2,437003,257170,158646,2800,2251,20100,0.005,0.037,-0.025,9,31,87142,55219,31923,648,539,108,102500,20400,0.00045098,-0.074549,-0.0681765,21,519,킵스파마,-0.048
3868,20250620,179530,-0.016,0.033,-0.105,-0.105,3,760,473165,274626,136586,972,607,3640,-0.033,-0.021,-0.135,1,37,359813,257476,102337,580,479,424,130300,3405,0.00974743,-0.0416476,-0.0387107,3,113,애드바이오텍,-0.0387107
3864,20250620,088340,0.03,0.032,-0.046,-0.014,0,182,404054,227165,114727,2971,2290,24550,-0.071,-0.061,-0.131,4,40,150533,107936,42597,1339,728,441,131130,22400,-0.00646429,-0.0555714,-0.0555714,0,256,유라클,-0.048
3859,20250620,053300,0.032,0.152,0.013,0.071,137,13,24538223,12162068,12017635,52529,60374,9020,0.019,0.023,-0.061,0,34,1694985,1069425,625560,3577,2742,624,144300,8940,0.0371499,-0.00311857,0.0326756,72,1,한국정보인증,0.0326756
3856,20250620,041460,0.011,0.255,0.005,0.171,555,0,21301793,10891094,9975043,47316,52097,4905,-0.023,0,-0.068,1,46,692175,491679,200496,1700,1003,602,143200,4780,0.0325188,-0.00304603,0.0231046,48,0,한국전자인증,0.0231046
3853,20250620,018000,0.001,0.04,-0.023,0.012,15,405,5702508,2996881,2468820,5250,5832,1793,-0.146,-0.144,-0.23,0,34,5213505,3335522,1877983,5900,3970,227,112430,1475,0.0325763,-0.0501356,-0.0406441,129,345,유니슨,-0.048
3849,20250619,340810,0.014,0.252,-0.041,0.215,626,4,10654322,5322898,5085992,26629,32306,6110,-0.041,0.133,-0.049,25,1,2960871,1504414,1401817,7843,8368,338,122000,6490,0.00878582,-0.108317,-0.106777,85,352,시선AI,-0.048
3845,20250619,235980,0,0.008,-0.024,0.005,49,424,76112,43508,32392,386,304,3730,0.063,0.126,0.036,9,21,221553,111814,109739,819,922,142,104200,4075,0.0127239,-0.0486258,-0.0449448,8,438,메드팩토,-0.048
3842,20250619,184230,0.01,0.01,-0.065,-0.044,0,458,1300200,814941,461631,795,906,586,0.015,0.077,0.014,11,0,437315,233206,204109,339,293,277,114930,618,0.0287443,-0.0214175,-0.00685437,128,231,SGA솔루션즈,-0.00685437
3839,20250619,000440,0.096,0.113,-0.005,0.044,1,84,487060,282060,192973,4567,3946,21250,-0.019,0.094,-0.019,24,0,369631,177180,190686,2469,2604,69,100530,22350,0.0986711,-0.035557,0.00471141,455,374,중앙에너비스,0.00471141
