,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,gcut,lcut,iASK0,tASK0,prcASK0,profit0,iASK1,tASK1,prcASK1,profit1,iASK2,tASK2,prcASK2,profit2,hname,profit
4018,20250702,043200,0.047,0.135,0.031,0.037,37,14,6084368,3225728,2800929,12391,12913,1535,0.055,0.137,0.04,34,0,5705059,2612726,2966215,5592,6206,75,100830,1685,0.093,0.056,300,120100,1591,-0.05579,699,153000,1610,-0.04451,189,110530,1610,-0.04451,파루,-0.05579
4017,20250702,040160,-0,0.032,-0.029,-0.029,22,760,24883,11221,11616,145,136,3475,0.019,0.019,-0.043,0,46,33826,12331,21495,39,75,9,93530,3465,0.065,0.05,116,102900,3290,-0.05051,117,102930,3255,-0.06061,115,102830,3325,-0.0404,누리플렉스,-0.05051
4016,20250702,039830,-0.036,0.154,-0.147,-0.043,534,85,7163927,3807916,3152141,44925,63199,16400,0.023,0.098,0.009,3,12,436095,219992,216103,3438,3712,10,93600,17400,0.088,0.053,61,100130,16480,-0.05287,61,100130,16300,-0.06322,53,95730,16670,-0.04195,오로라,-0.05287
4015,20250702,011080,0.005,0.006,-0.066,-0.054,0,151,4894320,2737480,1372895,3625,3605,903,0.262,0.264,0.13,0,43,8951518,5286798,3664720,6140,6035,9,93530,1084,0.075,0.05,97,101930,1166,0.07565,699,153000,1173,0.0821,51,95630,1150,0.06089,형지I&C,0.07565
4014,20250702,010170,0.002,0.093,0.002,0.075,749,0,3161407,1230789,1895992,1907,3428,1033,-0.019,0.002,-0.061,8,43,257460,182676,74784,378,208,27,94430,1011,0.067,0.05,699,153000,1000,-0.01088,699,153000,1000,-0.01088,699,153000,1000,-0.01088,대한광통신,-0.01088
4013,20250701,263050,0.138,0.283,0.026,0.252,468,35,10959473,5671369,4823732,32650,35411,2680,-0.088,-0.037,-0.093,0,17,338469,209106,129363,696,553,79,101030,2520,0.062,0.05,199,111030,2680,0.06349,199,111030,2710,0.0754,196,110900,2645,0.0496,유틸렉스,0.06349
4012,20250701,236810,-0.01,0.004,-0.078,-0.078,0,760,2977209,1686987,1000513,5281,5461,3725,0.13,0.15,0.052,4,35,2426647,1574591,852056,6984,4983,265,114330,4125,0.093,0.056,579,142030,4510,0.09333,596,142900,4590,0.11273,577,141930,4435,0.07515,엔비티,0.09333
4011,20250701,232830,0,0.05,-0.022,0.029,149,7,140993,88191,48888,351,543,2990,0.042,0.084,-0.003,10,42,153276,61455,91821,263,253,4,93300,3125,0.087,0.052,192,110700,2960,-0.0528,699,153000,2955,-0.0544,191,110630,2990,-0.0432,아이티센피엔에스,-0.0528
4010,20250701,214270,0.007,0.299,-0.007,0.299,572,0,9450588,4301483,5007737,16644,22276,3560,-0.029,-0.029,-0.093,0,50,370785,0,0,0,0,59,100030,3370,0.07,0.05,699,153000,3370,0,699,153000,3370,0,699,153000,3370,0,FSN,0
4009,20250701,203400,-0.011,0.02,-0.299,-0.297,2,709,14431650,7873324,5468167,40950,41958,9020,0.04,0.091,-0.032,3,19,1501863,855014,646849,4973,5307,69,100530,9390,0.12,0.072,699,153000,9060,-0.03514,699,153000,9060,-0.03514,477,132930,8850,-0.05751,에이비온,-0.03514
