,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,gcut,lcut,iASK0,tASK0,prcASK0,profit0,iASK1,tASK1,prcASK1,profit1,iASK2,tASK2,prcASK2,profit2,hname,profit
2255,20250307,092600,0.001,0.012,-0.014,-0.005,7,119,74895,59223,12599,111,151,730,-0.027,-0.027,-0.099,0,9,89722,54047,32480,112,148,2,93200,687,0.079,0.05,699,153000,688,0.00146,699,153000,688,0.00146,331,121630,732,0.0655,앤씨앤,0.00146
2254,20250307,089010,0.027,0.033,-0.015,0.013,1,58,423035,207730,159376,2165,2350,24250,0.138,0.144,0.072,0,24,1046924,654020,392904,8048,6153,65,100330,26850,0.067,0.05,546,140400,25500,-0.05028,549,140530,25200,-0.06145,327,121430,25750,-0.04097,켐트로닉스,-0.05028
2253,20250307,065500,-0,0.176,-0.007,0.108,747,0,10127382,4445280,5142217,19729,23824,7700,0.038,0.079,0.013,13,5,1693742,961695,732047,4003,4432,24,94300,8070,0.065,0.05,538,140000,7670,-0.04957,538,140000,7580,-0.06072,538,140000,7750,-0.03965,오리엔트정공,-0.04957
2252,20250307,064090,0.048,0.291,-0.041,0.218,650,18,1756127,903150,770680,3594,4191,2405,-0.017,0.019,-0.04,14,50,113539,84917,28622,202,119,6,93400,2395,0.061,0.05,154,104800,2275,-0.0501,161,105130,2250,-0.06054,50,95600,2295,-0.04175,인크레더블버즈,-0.0501
2251,20250307,010280,-0.006,0.013,-0.015,0.004,684,46,564038,325360,217092,587,598,714,0.041,0.106,0.035,33,1,874132,422090,452042,1014,1180,23,94230,772,0.069,0.05,67,100430,826,0.06995,77,100930,837,0.0842,66,100400,816,0.05699,아이티센엔텍,0.06995
2250,20250307,005710,0,0.007,-0.007,0.005,499,27,19441,12819,3228,33,60,6060,0.234,0.246,0.162,4,24,389603,222206,167397,2720,2593,180,110100,7360,0.062,0.05,604,143300,7830,0.06386,699,153000,7590,0.03125,603,143230,7740,0.05163,대원산업,0.06386
2249,20250307,006490,-0.02,-0.02,-0.135,-0.123,0,597,2918712,1689257,981884,3217,3334,1564,0.048,0.081,0.017,17,47,491526,255935,235591,484,458,77,100930,1649,0.062,0.05,699,153000,1633,-0.0097,699,153000,1633,-0.0097,699,153000,1633,-0.0097,인스코비,-0.0097
2248,20250306,418620,0,0.006,-0.065,-0.02,1,366,52356,26111,25068,348,282,3470,0.032,0.032,-0.03,0,2,2441,1665,776,79,49,453,131730,3500,0.064,0.05,699,153000,3470,-0.00857,699,153000,3470,-0.00857,699,153000,3470,-0.00857,이에이트,-0.00857
2247,20250306,352770,0.006,0.114,-0.079,-0.07,85,480,5488338,3241620,2048413,4420,5010,620,-0.018,0.029,-0.032,13,2,316301,182026,134275,237,245,116,102900,626,0.063,0.05,699,153000,600,-0.04153,699,153000,600,-0.04153,699,153000,601,-0.03994,클리노믹스,-0.04153
2246,20250306,284620,0.003,0.123,-0.035,0.093,715,58,348673,128382,209025,701,1085,1460,0.027,0.135,0.023,31,1,404794,224144,165466,953,1252,20,94100,1587,0.11,0.066,699,153000,1515,-0.04537,699,153000,1515,-0.04537,667,150430,1503,-0.05293,카이노스메드,-0.04537
2245,20250306,196300,0.036,0.036,-0.142,-0.136,0,143,226133,144481,66433,1220,1084,5840,0.007,0.017,-0.044,1,42,22512,17544,4968,153,82,31,94630,5820,0.065,0.05,40,95100,6210,0.06701,79,101030,6280,0.07904,36,94900,6130,0.05326,애니젠,0.06701
2244,20250306,176750,0.001,0.023,-0.001,0.009,18,38,103035,56986,43308,683,797,11780,0.048,0.071,0.005,0,50,60657,25137,35520,274,249,72,100700,12280,0.066,0.05,79,101030,13100,0.06678,84,101300,13260,0.0798,79,101030,12940,0.05375,듀켐바이오,0.06678
2243,20250306,106080,0.004,0.224,0.004,0.202,691,0,1420008,571138,820118,2872,4176,1915,0.068,0.071,-0.034,0,26,139637,102046,37591,439,270,607,143430,1967,0.108,0.065,699,153000,1918,-0.02491,699,153000,1918,-0.02491,699,153000,1918,-0.02491,케이이엠텍,-0.02491
2242,20250306,101000,0.01,0.01,-0.101,-0.086,0,697,369371,250217,98863,659,630,2300,-0.028,0.03,-0.028,26,0,9642,4644,4998,61,76,70,100600,2310,0.06,0.05,699,153000,2200,-0.04762,699,153000,2200,-0.04762,691,151630,2215,-0.04113,KS인더스트리,-0.04762
2241,20250306,035200,0.004,0.055,0.004,0.044,178,0,128865,60995,63076,424,466,3950,0.076,0.138,0.053,2,18,434006,236688,197318,1207,1126,534,135800,4345,0.081,0.05,699,153000,4265,-0.01841,699,153000,4265,-0.01841,699,153000,4265,-0.01841,프럼파스트,-0.01841
2240,20250306,034940,-0.009,0.008,-0.022,-0.003,3,108,20513,10788,7775,90,105,1048,0.012,0.164,0.011,19,7,894119,470791,396312,2086,2294,38,95000,1148,0.12,0.072,699,153000,1079,-0.0601,699,153000,1079,-0.0601,88,101500,1082,-0.05749,조아제약,-0.0601
2239,20250306,032790,0,0.045,-0.002,0.045,760,6,93673,28907,47143,169,310,930,0.3,0.3,0.151,9,13,3112372,1704368,1071558,2905,3181,1,93130,1162,0.032,0.05,26,94400,1201,0.03356,26,94400,1208,0.03959,25,94330,1193,0.02668,엠젠솔루션,0.03356
2238,20250306,457190,0.015,0.085,-0.034,0.002,13,390,2111812,1146770,916064,16502,17078,52800,0.034,0.038,-0.032,0,41,265756,180702,85054,2231,1680,124,103300,53400,0.072,0.05,699,153000,52100,-0.02434,699,153000,52100,-0.02434,699,153000,52100,-0.02434,이수스페셜티케미컬,-0.02434
2237,20250306,306200,-0,0.075,-0.016,0.023,380,30,144226,66456,75981,6615,8069,180700,0.098,0.204,0.096,7,0,58944,30642,25377,2375,1868,28,94500,208500,0.098,0.059,570,141600,196200,-0.05899,587,142430,193700,-0.07098,551,140630,198600,-0.04748,세아제강,-0.05899
2236,20250306,058430,0.003,0.153,-0.001,0.077,340,6,541556,270669,253085,6291,6804,39300,0.027,0.076,0.015,13,1,152347,78423,73924,1738,2091,500,134100,41400,0.06,0.05,699,153000,40100,-0.0314,699,153000,40100,-0.0314,609,143530,39700,-0.04106,포스코스틸리온,-0.0314
2235,20250306,008970,0,0.3,-0.006,0.3,282,39,25633210,10186647,12194470,8892,9410,897,0.15,0.183,0.094,13,39,30650512,17745770,12904742,15789,15774,11,93630,1029,0.082,0.05,656,145900,977,-0.05053,699,153000,1027,-0.00194,347,122430,1097,0.06608,동양철관,-0.05053
2234,20250306,005010,0.018,0.238,0.007,0.159,419,65,47742757,23563456,22956869,82490,93466,6490,0.029,0.065,-0.017,5,36,3841351,2232970,1608381,8056,6864,59,100030,6680,0.083,0.05,699,153000,6590,-0.01347,699,153000,6590,-0.01347,699,153000,6590,-0.01347,휴스틸,-0.01347
2233,20250306,000500,0.035,0.067,0.006,0.057,609,5,110709,47061,60107,1806,5913,51800,0.021,0.085,-0,4,50,57291,23065,32986,652,496,458,132000,54600,0.085,0.051,460,132100,51800,-0.05128,556,140900,51300,-0.06044,459,132030,52400,-0.04029,가온전선,-0.05128
2232,20250305,474610,0.044,0.275,0.016,0.226,71,1,11221391,5412685,5197427,40272,46956,6190,0.002,0.079,-0.015,13,5,2883201,1548427,1334774,9252,8769,323,121230,6430,0.095,0.057,699,153000,6350,-0.01244,699,153000,6350,-0.01244,699,153000,6350,-0.01244,RF시스템즈,-0.01244
2231,20250305,458650,-0.033,-0.012,-0.082,-0.074,18,186,343585,222600,102599,2667,1959,19780,0.052,0.054,-0.008,0,40,142426,114252,28174,1111,533,169,105530,20400,0.062,0.05,699,153000,20500,0.0049,699,153000,20500,0.0049,699,153000,20500,0.0049,성우,0.0049
2230,20250305,365590,0.039,0.039,-0.019,-0.008,0,219,73922,51299,19104,156,127,630,0.048,0.048,-0.013,0,1,7230,4440,1519,10,9,30,94600,646,0.061,0.05,699,153000,640,-0.00929,699,153000,640,-0.00929,699,153000,640,-0.00929,하이딥,-0.00929
2229,20250305,352770,-0.021,0.281,-0.096,0.187,642,13,9664961,4830687,4500602,7535,8884,667,0.069,0.072,-0.027,0,26,620177,352915,202066,402,458,4,93300,689,0.102,0.061,120,103100,647,-0.06096,121,103130,638,-0.07402,69,100530,655,-0.04935,클리노믹스,-0.06096
2228,20250305,347770,-0,-0,-0.047,-0.046,0,452,95485,81572,8628,240,125,1416,0.044,0.066,-0.011,2,28,11444,5909,5535,98,99,558,141000,1468,0.079,0.05,699,153000,1478,0.00681,699,153000,1478,0.00681,699,153000,1478,0.00681,핌스,0.00681
2227,20250305,314930,-0.013,0.128,-0.026,0.126,720,16,1207031,524737,572501,5953,6694,16200,-0,0.03,-0.03,1,28,189047,106310,82737,1556,779,86,101400,16240,0.062,0.05,506,134400,15430,-0.04988,699,153000,15620,-0.03818,471,132630,15590,-0.04002,바이오다인,-0.04988
2226,20250305,128540,0.3,0.3,0.26,0.3,21,22,1010418,834106,58215,1305,173,1768,-0.042,0.064,-0.053,22,3,1635488,883314,683373,3665,3916,452,131700,1794,0.12,0.072,544,140300,1665,-0.07191,544,140300,1639,-0.0864,543,140230,1690,-0.05797,에코캡,-0.07191
2225,20250305,109860,0,0.036,-0.023,-0.019,13,108,9616,7102,1889,87,66,8140,0.015,0.044,-0.016,1,13,1135,819,316,23,21,151,104630,8330,0.061,0.05,699,153000,8380,0.006,699,153000,8380,0.006,699,153000,8380,0.006,동일금속,0.006
2224,20250305,101390,0,0.08,-0.058,0.045,573,154,475370,246939,215329,718,646,967,0.008,0.008,-0.074,0,21,142801,90615,52186,224,126,10,93600,943,0.089,0.054,699,153000,967,0.02545,699,153000,967,0.02545,699,153000,967,0.02545,아이엠,0.02545
2223,20250305,093640,0,0.299,0,0.146,558,0,2249069,1025409,1143093,8039,9275,4155,0.007,0.03,-0.037,3,34,95904,60561,35343,477,436,136,103900,4175,0.07,0.05,395,124830,3965,-0.0503,699,153000,4030,-0.03473,371,123630,4005,-0.04072,케이알엠,-0.0503
2222,20250305,011300,-0.023,0.261,-0.048,-0.036,608,749,11540764,6205706,5052152,12579,13286,543,-0.026,-0.018,-0.125,12,47,1843859,911429,847589,429,695,121,103130,512,0.12,0.072,693,151730,475,-0.07227,699,153000,481,-0.06055,223,112230,482,-0.05859,성안머티리얼스,-0.07227
2221,20250305,010770,0.043,0.097,-0.097,-0.059,10,96,1952396,1178480,737337,7095,6167,7070,-0.016,0.021,-0.055,10,45,257969,133037,124932,588,488,1,93130,7030,0.081,0.05,210,111600,6680,-0.04979,233,112730,6610,-0.05974,6,93400,6750,-0.03983,평화홀딩스,-0.04979
2220,20250305,005180,-0,0.021,-0.024,0.006,80,12,51476,27717,22912,2158,1727,97100,0,0.009,-0.063,12,48,11284,7792,3492,470,253,1,93130,95300,0.077,0.05,699,153000,94700,-0.0063,699,153000,94700,-0.0063,699,153000,94700,-0.0063,빙그레,-0.0063
2219,20250304,462980,-0.014,-0.008,-0.047,-0.044,1,365,221140,157542,51320,805,610,3440,-0.035,-0.029,-0.086,3,45,230830,150386,73680,451,362,226,112400,3260,0.062,0.05,699,153000,3245,-0.0046,699,153000,3245,-0.0046,699,153000,3245,-0.0046,아이지넷,-0.0046
2218,20250304,365900,0.03,0.058,-0.019,0.004,699,22,40360,21358,17878,102,86,3790,0.001,0.05,-0.017,26,4,649,171,478,9,15,2,93200,3885,0.068,0.05,699,153000,3960,0.01931,699,153000,3960,0.01931,699,153000,3960,0.01931,브이씨,0.01931
2217,20250304,352940,-0.017,0.013,-0.046,-0.042,7,114,13127,5350,5727,70,96,2270,0.044,0.044,-0.015,0,7,478,115,363,7,7,219,112030,2320,0.06,0.05,699,153000,2225,-0.04095,699,153000,2225,-0.04095,699,153000,2225,-0.04095,인바이오,-0.04095
2216,20250304,340930,0.008,0.096,0,0.065,607,3,1222452,606514,583172,2014,2697,2540,0.091,0.098,-0.008,0,49,387877,279572,108305,719,571,362,123200,2655,0.107,0.064,699,153000,2625,-0.0113,699,153000,2625,-0.0113,699,153000,2625,-0.0113,유일에너테크,-0.0113
2215,20250304,323280,-0.031,0.008,-0.032,-0.004,107,1,546689,293361,195162,4697,3539,37000,-0.064,-0.015,-0.078,10,18,156464,90272,60885,1060,911,140,104100,35700,0.069,0.05,659,150030,33900,-0.05042,663,150230,33550,-0.06022,653,145730,34250,-0.04062,태성,-0.05042
2214,20250304,222420,0.011,0.163,-0.03,0.007,358,31,4063078,2275379,1643786,7432,7279,909,0.11,0.26,0.095,19,5,3843773,1858469,1897488,4987,5619,86,101400,1075,0.091,0.054,154,104800,1016,-0.05488,176,105900,1005,-0.06512,153,104730,1028,-0.04372,쎄노텍,-0.05488
2213,20250304,131090,0.029,0.038,-0.013,-0.003,653,462,138768,69162,65442,362,721,898,-0.004,-0,-0.06,19,50,27585,22612,4973,56,24,3,93230,878,0.064,0.05,699,153000,868,-0.01139,699,153000,868,-0.01139,699,153000,868,-0.01139,시큐브,-0.01139
2212,20250304,123330,-0.02,0.053,-0.027,0.029,197,22,177405,87452,87873,1510,1636,25100,-0.034,0.028,-0.038,28,1,15052,10527,4525,144,88,6,93400,24750,0.068,0.05,699,153000,25150,0.01616,699,153000,25150,0.01616,699,153000,25150,0.01616,제닉,0.01616
2211,20250304,065370,0.007,0.286,-0.042,0.184,700,8,2913578,1406408,1415680,13399,15071,8410,0.117,0.124,0.014,1,43,349010,220100,128910,2298,1992,102,102200,9080,0.108,0.065,585,142330,8490,-0.06498,699,153000,8720,-0.03965,562,141200,8610,-0.05176,위세아이텍,-0.06498
2210,20250304,052770,-0.023,0.072,-0.023,0.027,19,0,811614,483447,307165,1077,915,1349,-0.006,-0.006,-0.072,0,34,97220,64992,32228,129,60,17,93930,1308,0.071,0.05,699,153000,1359,0.03899,699,153000,1359,0.03899,699,153000,1359,0.03899,아이톡시,0.03899
2209,20250304,043090,0.009,0.009,-0.195,-0.174,0,672,259663,149152,90583,547,388,962,-0.018,-0.003,-0.1,2,4,27807,13825,13982,71,70,204,111300,915,0.107,0.064,699,153000,921,0.00656,699,153000,921,0.00656,250,113600,995,0.08743,더테크놀로지,0.00656
2208,20250304,019570,0.171,0.243,-0.046,-0.046,120,760,31221895,17340206,12791957,16954,23400,290,-0.021,-0.021,-0.086,0,22,618080,392281,225799,383,403,123,103230,276,0.072,0.05,200,111100,262,-0.05072,272,114700,259,-0.06159,177,105930,265,-0.03986,플루토스,-0.05072
2207,20250304,002680,0,0.009,-0.025,0.008,759,331,209671,63078,71041,144,206,805,-0.104,0.052,-0.106,17,0,801507,410759,329115,1107,1334,158,105000,788,0.12,0.072,699,153000,782,-0.00761,699,153000,782,-0.00761,397,124930,865,0.09772,한탑,-0.00761
2206,20250304,002870,0,0.045,-0.009,0.005,74,8,71331,40043,29584,382,258,1168,-0.006,-0.006,-0.08,0,31,43476,33343,10025,104,74,118,103000,1128,0.08,0.05,699,153000,1135,0.00621,699,153000,1135,0.00621,699,153000,1135,0.00621,신풍,0.00621
2205,20250304,001570,-0.015,0.036,-0.056,-0.034,14,269,3476125,1957296,1395874,17063,18371,22500,-0.184,-0.111,-0.244,5,39,2398228,1293441,1038645,14050,13452,10,93600,18630,0.12,0.072,588,142500,17290,-0.07193,699,153000,17770,-0.04616,520,135100,17560,-0.05743,금양,-0.07193
2204,20250304,001210,-0.009,-0,-0.061,-0.061,8,742,434883,340658,76745,364,358,710,0.017,0.017,-0.066,0,20,109638,19860,43908,76,123,33,94730,703,0.089,0.053,699,153000,707,0.00569,699,153000,707,0.00569,699,153000,707,0.00569,금호전기,0.00569
2203,20250228,456070,-0.005,0.018,-0.036,-0.027,55,744,345924,237091,93586,2843,2073,18580,0.119,0.128,0.063,1,21,1167346,659513,441939,8047,7445,130,103600,20450,0.061,0.05,190,110600,21700,0.06112,699,153000,19430,-0.04988,152,104700,21450,0.0489,이엔셀,0.06112
2202,20250228,355150,0.023,0.243,-0.019,0.08,480,123,2243208,1229876,954599,14126,13573,7420,0.027,0.09,0.023,6,0,179738,89313,85320,867,954,237,112930,7940,0.066,0.05,699,153000,7720,-0.02771,699,153000,7720,-0.02771,699,153000,7720,-0.02771,코스텍시스,-0.02771
2201,20250228,340360,-0.025,-0.001,-0.03,-0.013,1,731,511067,247063,203945,664,820,1928,-0.027,-0.017,-0.246,4,49,1324233,631546,545475,1471,1134,58,100000,1721,0.12,0.072,699,153000,1899,0.10343,699,153000,1899,0.10343,99,102030,1887,0.09646,다보링크,0.10343
2200,20250228,257720,0.004,0.036,-0.043,-0.034,459,358,3648292,2181839,1322300,20630,19122,25800,-0.004,0.054,-0.008,27,3,691991,319723,372268,3440,4803,9,93530,26600,0.062,0.05,699,153000,26650,0.00188,699,153000,26650,0.00188,699,153000,26650,0.00188,실리콘투,0.00188
2199,20250228,222420,-0.001,0.098,-0.102,-0.013,4,646,4491323,2294067,1878629,7295,8045,903,0.001,0.032,-0.03,2,21,226777,161043,65734,340,213,91,101630,911,0.064,0.05,284,115300,970,0.06476,285,115330,982,0.07794,284,115300,959,0.05269,쎄노텍,0.06476
2198,20250228,219550,0.027,0.085,0.008,0.039,464,5,5931490,3139694,2681221,2842,2880,744,0.05,0.05,-0.044,0,45,921641,687820,233821,489,252,322,121200,752,0.098,0.059,699,153000,781,0.03856,699,153000,781,0.03856,699,153000,781,0.03856,디와이디,0.03856
2197,20250228,199550,0.012,0.3,0.001,0.3,611,0,10354704,5195927,5021245,39971,44541,9500,0.111,0.124,0.045,0,37,2285199,1367270,917929,11360,9583,17,93930,10400,0.076,0.05,34,94800,9880,-0.05,38,95000,9770,-0.06058,30,94600,9980,-0.04038,레이저옵텍,-0.05
2196,20250228,105550,-0,0.049,-0.031,0.041,758,178,1203471,490347,669416,2132,2552,5100,-0.038,-0.01,-0.071,10,18,472946,262649,210297,858,794,7,93430,4925,0.065,0.05,699,153000,5000,0.01523,699,153000,5000,0.01523,699,153000,5000,0.01523,엣지파운드리,0.01523
2195,20250228,037460,0.009,0.009,-0.004,-0.003,0,624,59970,13630,2499,178,100,8970,0.153,0.155,0.066,0,46,476740,298972,177768,2807,2185,63,100230,10060,0.084,0.05,699,153000,10060,0,699,153000,10060,0,699,153000,10060,0,삼지전자,0
2194,20250228,024940,0.014,0.014,-0.068,-0.067,0,717,479388,322527,118930,1163,1023,7250,-0.026,-0.015,-0.083,2,45,148625,100490,48135,412,276,337,121930,6960,0.074,0.05,699,153000,6750,-0.03017,699,153000,6750,-0.03017,699,153000,6750,-0.03017,PN풍년,-0.03017
2193,20250228,019570,0.008,0.299,0.004,0.299,284,2,13672702,6655093,6514909,5236,6104,304,0.151,0.201,0.069,1,10,6767594,3860222,2907372,3361,4283,1,93130,348,0.12,0.072,552,140700,323,-0.07184,561,141130,318,-0.08621,542,140200,328,-0.05747,플루토스,-0.07184
2192,20250228,090080,0.001,0.176,-0.019,0.076,650,17,18247805,8884812,8924763,17475,20773,1371,-0.043,0.034,-0.044,16,0,1818848,1030473,788375,1691,1462,446,131400,1371,0.081,0.05,530,135600,1302,-0.05033,699,153000,1310,-0.04449,457,131930,1316,-0.04012,평화산업,-0.05033
2191,20250228,010770,0,0.3,-0.022,0.285,644,2,4835705,2501036,2213584,17319,20016,7120,-0.006,0.159,-0.006,16,0,1532242,786164,705057,5783,5382,10,93600,7700,0.12,0.072,87,101430,7140,-0.07273,699,153000,7510,-0.02468,62,100200,7260,-0.05714,평화홀딩스,-0.07273
2190,20250228,000910,-0.016,-0.002,-0.033,-0.029,11,687,487607,331351,124720,1372,932,5610,0.114,0.127,0.062,20,14,1963825,1049098,914727,5882,5975,54,95800,6180,0.06,0.05,325,121330,5870,-0.05016,456,131900,5810,-0.05987,139,104030,5930,-0.04045,유니온,-0.05016
2189,20250227,244460,0.002,0.101,-0.01,0.004,39,2,60585,34571,20883,309,306,2540,0.024,0.035,-0.051,1,35,22639,18939,3700,54,23,100,102100,2570,0.091,0.055,699,153000,2540,-0.01167,699,153000,2540,-0.01167,699,153000,2540,-0.01167,올리패스,-0.01167
2188,20250227,222420,-0.01,0.3,-0.01,0.3,339,0,4888015,2335805,2512952,4766,5062,915,0.071,0.095,0.011,7,46,1371081,764123,606958,2087,2339,12,93700,972,0.083,0.05,81,101130,923,-0.05041,81,101130,914,-0.05967,45,95330,933,-0.04012,쎄노텍,-0.05041
2187,20250227,219550,0.005,0.27,0.005,0.216,679,0,13407271,6320142,6869726,6246,7913,716,0.075,0.078,0.01,0,48,957534,694693,262841,650,364,100,102100,752,0.068,0.05,699,153000,744,-0.01064,699,153000,744,-0.01064,699,153000,744,-0.01064,디와이디,-0.01064
2186,20250227,064520,0,0.071,0,0.012,8,0,34018,17208,12918,252,233,2480,-0.01,0.028,-0.069,4,50,14442,12292,1843,44,21,55,95830,2475,0.104,0.062,699,153000,2400,-0.0303,699,153000,2400,-0.0303,699,153000,2400,-0.0303,테크엘,-0.0303
2185,20250227,060240,0.117,0.143,-0.126,-0.121,9,697,7433229,4168164,2609917,7872,8300,535,0.103,0.146,0.058,0,37,848230,455798,392432,992,781,7,93430,593,0.083,0.05,84,101300,563,-0.05059,93,101730,557,-0.06071,50,95600,569,-0.04047,스타코링크,-0.05059
2184,20250227,033790,-0.006,0.033,-0.084,-0.015,614,607,805391,445532,349513,2656,2518,7980,0.019,0.025,-0.035,0,29,98220,64118,34102,295,248,252,113700,7960,0.062,0.05,699,153000,7930,-0.00377,699,153000,7930,-0.00377,699,153000,7930,-0.00377,피노,-0.00377
2183,20250227,025950,0.018,0.022,-0.041,-0.03,0,654,259253,162525,86255,3121,2704,49250,0.029,0.048,-0.012,2,44,68619,38885,29734,966,805,198,111000,50600,0.061,0.05,699,153000,50000,-0.01186,699,153000,50000,-0.01186,699,153000,50000,-0.01186,동신건설,-0.01186
2182,20250227,023160,0.013,0.081,-0.031,0.022,9,237,1377803,655829,700413,9297,11666,22850,0.026,0.109,0.026,30,0,983991,394535,569057,4938,6094,83,101230,24600,0.081,0.05,665,150330,23350,-0.05081,699,153000,23450,-0.04675,144,104300,23600,-0.04065,태광,-0.05081
2181,20250227,019570,-0.008,0.008,-0.059,-0.013,410,9,237142,111646,123328,161,207,234,0.098,0.248,0.03,15,1,2438391,1134493,987184,703,759,114,102800,274,0.102,0.061,223,112230,303,0.10584,699,153000,304,0.10949,132,103700,261,-0.04745,플루토스,0.10584
2180,20250227,004870,0,0.03,-0.004,0.014,7,670,1125063,583121,497339,778,843,709,0.279,0.299,0.179,1,13,15443888,9105822,4470612,6019,6125,360,123100,891,0.026,0.05,476,132900,846,-0.05051,674,150800,837,-0.06061,456,131900,855,-0.0404,티웨이홀딩스,-0.05051
2179,20250226,479960,0.012,0.159,-0.228,-0.228,144,760,15541779,8446577,6606406,118395,123720,26250,0.097,0.12,0.013,1,27,1177873,647739,530134,9212,9308,341,122130,28300,0.105,0.063,500,134100,26500,-0.0636,500,134100,26150,-0.07597,488,133500,26850,-0.05124,위너스,-0.0636
2178,20250226,452450,-0.015,0.007,-0.108,-0.108,39,760,4035066,2489363,1395669,11722,14555,10040,0.007,0.044,-0.022,8,24,703597,392274,311323,2081,2529,11,93630,10250,0.067,0.05,66,100400,10950,0.06829,699,153000,10140,-0.01073,66,100400,10810,0.05463,피아이이,0.06829
2177,20250226,394800,-0.018,0.033,-0.032,0.015,193,6,2339500,1190831,1063034,9321,14408,6090,0.003,0.1,-0.005,36,6,4712077,2112080,2436220,9678,12464,25,94330,6440,0.106,0.063,699,153000,6280,-0.02484,699,153000,6280,-0.02484,699,153000,6280,-0.02484,쓰리빌리언,-0.02484
2176,20250226,388720,-0.037,-0.024,-0.113,-0.11,0,17,669462,397559,227139,7515,8479,60100,-0.023,0.008,-0.052,36,7,121027,66415,54612,1280,1510,3,93230,59300,0.063,0.05,699,153000,60400,0.01855,699,153000,60400,0.01855,699,153000,60400,0.01855,유일로보틱스,0.01855
2175,20250226,352770,0.08,0.157,-0.068,-0.025,454,136,23407072,12538529,10005483,13201,15522,740,-0.005,0.011,-0.054,2,28,902029,519672,382357,525,542,3,93230,728,0.069,0.05,699,153000,695,-0.04533,699,153000,695,-0.04533,59,100030,769,0.05632,클리노믹스,-0.04533
2174,20250226,340930,0.002,0.041,-0.041,-0.019,2,27,537839,300852,211211,759,1134,2270,0.018,0.099,0.018,40,0,334766,172985,161781,539,620,257,113930,2425,0.08,0.05,699,153000,2465,0.01649,699,153000,2465,0.01649,699,153000,2465,0.01649,유일에너테크,0.01649
2173,20250226,335870,0.02,0.149,0.01,0.134,590,10,243331,95658,138024,631,787,2280,0.002,0.029,-0.035,18,40,22790,14887,7903,99,74,29,94530,2290,0.066,0.05,436,130900,2445,0.06769,436,130900,2475,0.08079,379,124030,2415,0.05459,윙스풋,0.06769
2172,20250226,308080,-0,0.004,-0.042,-0.002,0,7,63389,30654,30467,292,395,2845,0.135,0.165,0.067,5,40,230022,145212,84810,757,675,14,93800,3190,0.092,0.055,699,153000,3125,-0.02038,699,153000,3125,-0.02038,540,140100,3045,-0.04545,바이젠셀,-0.02038
2171,20250226,226950,0.05,0.195,0.023,0.195,760,8,3955164,1703134,1941462,33526,36837,52200,0.042,0.05,-0.04,0,19,451686,293080,158606,4781,4215,49,95530,52800,0.094,0.056,699,153000,55600,0.05303,699,153000,55600,0.05303,531,135630,56900,0.07765,올릭스,0.05303
2170,20250226,221800,-0.025,0.286,-0.027,0.163,750,0,8822814,4324398,4005423,18455,18760,3430,-0.032,0.022,-0.045,17,11,549558,305131,244427,1814,1943,619,144030,3420,0.07,0.05,624,144300,3665,0.07164,667,150430,3210,-0.0614,624,144300,3615,0.05702,유투바이오,0.07164
2169,20250226,101670,0,0,-0.06,-0.055,0,656,993491,737113,237737,1665,1507,1800,0.015,0.061,-0,12,47,340839,132902,207937,601,763,170,105600,1872,0.061,0.05,199,111030,1988,0.06197,699,153000,1850,-0.01175,192,110700,1965,0.04968,하이드로리튬,0.06197
2168,20250226,101400,0.008,0.271,-0.005,0.096,616,9,5337604,2559047,2538022,2354,3063,412,0,0.141,-0.002,30,13,745272,386300,307314,478,573,24,94300,443,0.12,0.072,699,153000,469,0.05869,699,153000,469,0.05869,699,153000,469,0.05869,엔시트론,0.05869
2167,20250226,073570,0,0.003,-0.028,-0.013,559,76,571360,304443,246931,762,759,1015,-0.008,0.074,-0.011,16,2,195967,111216,84751,323,399,30,94600,1051,0.086,0.051,175,105830,1142,0.08658,175,105830,1160,0.10371,174,105800,1124,0.06946,리튬포어스,0.08658
2166,20250226,054180,0.232,0.286,0.079,0.118,7,359,15681042,8758841,6099725,8237,9494,313,0.086,0.297,0.086,18,0,9762060,4549733,3595719,2040,2258,53,95730,383,0.054,0.05,673,150730,364,-0.04961,679,151030,360,-0.06005,665,150330,368,-0.03916,메디콕스,-0.04961
2165,20250226,023160,-0.002,0.071,-0.011,0.018,86,0,782543,346848,421580,4596,6540,22350,0.076,0.078,0,0,32,266275,147340,118935,1825,1427,48,95500,23350,0.078,0.05,167,105430,22150,-0.05139,169,105530,21900,-0.0621,167,105430,22400,-0.04069,태광,-0.05139
2164,20250226,014620,-0.004,0.088,-0.021,0.08,541,9,1055725,392097,643167,6585,10173,28250,0.046,0.048,-0.021,0,44,245224,147815,97409,1927,1255,206,111400,28650,0.071,0.05,699,153000,27950,-0.02443,699,153000,27950,-0.02443,409,125530,27500,-0.04014,성광벤드,-0.02443
2163,20250226,008290,0.02,0.299,0.02,0.299,23,0,11467432,5769086,5228170,10359,12703,586,-0.015,0.029,-0.055,18,6,1428313,861445,566868,1541,1786,33,94730,584,0.088,0.053,55,95830,553,-0.05308,56,95900,547,-0.06336,55,95830,559,-0.04281,원풍물산,-0.05308
