,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,noNEWS,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3233,20250704,900310,91900,91859,102111,849,771,948,814,119,65,882,14.400,884,844,2,20,84.930,1667473,861636,731812,2192,3425,228,16.170,30.000,29.670,8903,8278,805,750,927,730,0,0.029,-0.084,-0.069,186,715,컬러레이,-0.048
3232,20250704,900070,91606,91605,101817,458,416,506,447,79,75,467,12.260,472,465,11,19,75.850,2359484,1301916,987564,1697,2203,228,15.470,30.000,29.670,8894,8277,422,407,439,384,1,0.154,-0.008,0.154,254,156,글로벌에스엠,0.120
3231,20250704,900300,91539,91537,101743,593,539,624,601,0,110,624,30.000,624,624,0,0,54.850,14842953,8134834,4462057,4937,4153,316,4.200,30.000,21.120,8893,18286,509,319,509,319,8,-0.002,-0.002,-0.002,155,155,오가닉티코스메틱,-0.004
3230,20250704,900270,91526,91526,101740,257,233,288,261,111,119,280,20.690,284,272,1,12,128.470,67168017,28652753,36811169,11018,23169,316,4.200,30.000,21.120,8893,18284,248,220,250,204,3,0.062,-0.056,-0.056,484,760,헝셩그룹,-0.048
3229,20250704,123840,91256,91250,101506,1250,1134,1232,1159,114,70,1171,2.270,1180,1164,17,5,106.300,105851,47111,50080,193,269,279,-0.570,2.280,2.270,3158,127,1461,995,1461,966,0,-0.002,-0.036,-0.011,150,677,뉴온,-0.011
3228,20250704,900260,91213,91207,101422,752,683,827,728,103,116,793,16.110,812,791,20,3,100.880,3916386,1876336,1892849,2970,4276,228,14.860,30.000,29.670,8884,8276,688,582,688,481,0,0.117,-0.001,0.117,171,148,로스웰,0.115
3227,20250704,900300,90922,90921,101128,534,485,624,537,0,119,624,30.000,624,619,0,20,54.990,14823152,8115033,4462057,4906,4153,316,3.760,30.000,18.530,8881,17077,509,319,509,319,8,-0.002,-0.002,-0.002,142,142,오가닉티코스메틱,-0.004
3226,20250704,900120,90908,90907,101124,90,81,92,89,0,120,92,29.580,92,92,0,0,35.000,41530775,26847870,9396850,2255,1042,228,14.600,30.000,29.670,8881,8275,71,55,71,51,2,-0.002,-0.002,-0.002,142,142,씨엑스아이,-0.002
3225,20250704,014970,90707,90701,100913,8640,7850,8760,7890,118,42,8140,10.900,8160,7940,0,7,86.210,4091391,2070906,1785406,21385,21183,581,-1.410,10.490,-0.500,33580,15097,-1,-1,-1,-1,3,0.014,-0.105,-0.076,266,697,삼륭물산,-0.048
3224,20250704,083470,90627,90626,100840,944,858,982,900,118,115,905,5.480,912,905,7,0,92.290,246886,124208,114633,236,346,9,-0.350,5.480,3.300,227,24,1176,772,1257,772,0,0.028,-0.008,0.017,661,502,이엠앤아이,0.017
3223,20250704,348350,90615,90613,100819,12310,11190,12460,11650,106,5,11690,6.080,12070,11650,15,5,97.300,1119057,552990,538050,6916,6886,401,-1.310,5.990,2.540,13464,921,12970,7360,12970,6380,3,0.027,-0.048,-0.027,290,696,위드텍,-0.048
3222,20250704,900120,90549,90547,100755,79,71,92,79,0,119,92,29.580,92,92,0,0,35.070,41478278,26795373,9396850,2241,1042,228,14.620,30.000,29.670,8872,8266,71,55,71,51,2,-0.002,-0.002,-0.002,135,135,씨엑스아이,-0.002
3221,20250704,277410,90533,90528,100752,1554,1412,1562,1454,119,0,1462,5.940,1500,1454,13,0,91.020,6241039,3165200,2880853,7794,8964,506,0.020,5.940,4.330,9434,3424,1564,1211,1564,1166,5,0.006,-0.049,-0.031,142,486,인산가,-0.048
3220,20250704,355390,90253,90251,100458,10780,9800,9990,10010,102,99,9360,-2.700,9470,9330,10,0,51.690,306944,193011,99771,2846,1756,566,-1.460,0.230,0.230,595,43,11114,6953,15070,6064,4,0.019,-0.030,-0.029,157,535,크라우드웍스,-0.029
3219,20250704,200230,90107,90105,100310,5890,5350,5980,5360,119,88,5540,6.540,5640,5470,19,14,79.940,364397,187361,149775,1457,1568,172,-0.410,6.540,5.890,2057,1110,8362,2657,8362,2321,0,0.018,-0.045,-0.009,737,168,텔콘RF제약,-0.009
3218,20250704,024720,90028,90027,100233,18920,16710,19420,17310,116,25,17610,5.390,17700,17360,5,15,85.830,6245591,3343588,2869947,44004,41223,567,-0.760,5.390,5.340,24295,647,18440,11340,18440,8500,0,0.004,-0.052,-0.035,129,671,콜마홀딩스,-0.048
3217,20250703,009070,135320,135316,145537,5970,5420,6810,5970,86,120,6440,17.520,6720,6410,19,2,103.220,21575623,10525448,10864682,48467,53590,141,2.300,17.520,4.790,135052,2368,5550,3855,5550,3505,2,-0.005,-0.041,-0.032,719,732,KCTC,-0.032
3216,20250703,131400,135033,135026,145242,1516,1378,1511,1358,120,0,1358,11.310,1386,1358,18,0,82.230,10615307,5738137,4718734,14064,15029,472,3.490,11.310,8.640,15242,3090,1399,1220,1587,1220,0,0.166,-0.006,0.166,754,710,이브이첨단소재,0.120
3215,20250703,010060,134705,134700,144920,85200,77400,87800,85100,100,120,86000,11.110,86500,85300,4,15,206.360,694118,224757,463799,9669,16059,191,1.630,11.110,9.260,40517,15065,80400,65200,80400,59000,3,-0.001,-0.019,-0.015,698,752,OCI홀딩스,-0.015
3214,20250703,131400,133157,133154,143402,1342,1220,1515,1351,84,93,1380,13.110,1410,1370,10,12,83.880,10047748,5378010,4511302,13267,14323,472,3.550,13.030,8.110,14464,2967,1399,1220,1587,1220,0,0.147,-0.022,0.147,754,710,이브이첨단소재,0.120
3213,20250703,115610,133053,133052,143301,1323,1202,1340,1297,115,108,1303,8.490,1308,1299,16,7,187.750,408881,139049,261065,664,1055,307,2.580,10.840,8.490,35704,520,1424,1138,1565,1138,0,0.008,-0.004,0.005,715,667,이미지스,0.005
