,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
1123,20240905,024060,140250,140243,143457,15400,14000,16680,15020,53,26,15410,9.450,15840,15200,10,16,86.280,4099176,2163248,1866507,22903,22087,177,1.320,9.300,2.930,64430,7973,20300,12670,20300,12670,-0.001,-0.074,-0.069,670,756,흥구석유,-0.048
1122,20240905,101930,140033,140033,143243,22350,20100,22250,18230,60,38,19680,5.520,19680,18890,0,13,74.090,116699,61192,45339,1240,1088,94,-2.400,5.520,2.280,2260,202,23800,18650,27750,13090,0.029,-0.018,0.014,733,678,인화정공,0.014
1121,20240905,024910,135252,135246,142457,2410,2190,2580,2105,56,28,2175,-0.680,2180,2115,0,19,70.260,3210219,1804162,1267620,4382,4638,227,-0.930,6.790,4.110,5388,123,2450,2045,3205,2045,-0.002,-0.023,-0.021,649,756,경창산업,-0.021
1114,20240905,009180,132148,132143,135351,2595,2355,2720,2390,59,22,2530,7.430,2560,2420,18,16,76.290,1590571,868872,662882,2726,2397,141,4.020,21.840,17.500,71171,38160,2900,2355,3175,2355,-0.008,-0.087,-0.079,587,620,한솔로지스틱스,-0.048
1065,20240905,065420,94141,94134,101344,258,234,255,244,59,49,252,5.880,252,247,0,9,129.220,473487,188725,243872,145,277,79,1.040,5.880,3.040,117,1826,309,217,309,180,0.016,-0.044,-0.032,169,612,에스아이리소스,-0.032
1049,20240905,033790,91117,91115,94322,10360,9410,11300,10350,5,33,11000,12.020,11300,10560,5,17,143.060,255704,98237,140541,674,1119,265,2.330,12.020,11.720,2694,5444,15990,9820,15990,7040,0.035,-0.035,-0.007,687,133,피노,-0.007
1038,20240904,189860,140338,140333,143549,5040,4580,5270,4750,60,24,4885,5.170,4960,4775,5,14,69.300,702488,408078,282779,2953,2735,335,-2.890,5.170,0.000,3453,0,5960,4645,7500,4645,0.001,-0.059,-0.052,682,714,서전기전,-0.048
1016,20240904,294140,112714,112707,115923,4465,4055,4980,4480,49,58,4645,8.150,4900,4620,14,1,90.230,1051531,539442,486715,5011,5214,393,-3.550,8.030,-0.600,4996,2600,5860,4015,5860,2775,0.011,-0.065,-0.064,361,624,레몬,-0.048
1015,20240904,069540,111543,111542,114745,1347,1224,1368,1261,59,26,1296,5.970,1315,1271,2,11,85.100,1383378,724617,616620,1872,2411,373,-2.660,5.970,0.730,1785,272,3065,1223,3800,1223,0.202,-0.004,0.114,711,338,빛과전자,0.080
998,20240904,123840,94919,94918,102121,288,261,330,263,49,2,273,3.020,278,263,17,2,75.390,1482837,804750,606663,658,684,331,-3.190,3.020,0.310,434,89441,306,265,312,265,0.000,-0.059,-0.037,163,201,뉴온,-0.048
