,date,shcode,etf,gubun,ytDiffO,ytDiffH,ytDiffL,ytDiff,ytClose,ytVolume,ytULPi,tdSDiff,tdOpen,noNEWS,30m(MAX),30m(MAXi),30m(MIN),30m(MINi),30m(CLOSE),value
8267,2024-11-18,510029,2,1,0.0,0.1124,0.0,0.1124,80315,1363,-1,0.0,80315,0,0.0,0,-0.116,47,-0.116,0.0
8266,2024-11-18,092200,0,1,0.0,0.2696,0.0,0.2449,4295,6300320,-1,-0.0291,4170,1,-0.0268,0,-0.0687,3,-0.0477,0.0
8265,2024-11-18,084695,0,1,0.0051,0.1403,-0.023,0.1403,22350,31464,-1,-0.0447,21350,0,-0.0447,0,-0.0447,0,-0.0447,0.0
8264,2024-11-18,084690,0,1,0.0199,0.1712,0.0012,0.1712,9440,1199513,-1,-0.0466,9000,18,-0.0148,24,-0.0667,1,-0.0392,0.0
8263,2024-11-18,079900,0,1,-0.0242,0.1862,-0.0652,0.1546,31000,5588995,-1,-0.0323,30000,3,0.0145,45,-0.0355,0,0.0113,0.0
8262,2024-11-18,023960,0,1,-0.0144,0.1545,-0.0249,0.1185,2020,1063181,-1,0.0396,2100,0,0.0545,5,-0.0198,28,0.0124,-0.05
8261,2024-11-18,017810,0,1,0.0318,0.1003,0.0251,0.1003,11410,602412,-1,0.0167,11600,27,0.0175,1,-0.0184,10,0.0009,-0.015540474082817002
8260,2024-11-18,011230,0,1,0.1743,0.2986,0.0681,0.2505,3120,4682905,9,-0.0962,2820,6,-0.0849,0,-0.1282,2,-0.0994,0.0
8259,2024-11-18,010660,0,1,0.0089,0.1815,-0.0178,0.1281,3170,7541700,-1,-0.0678,2955,0,-0.0442,14,-0.0836,3,-0.0521,0.0
8258,2024-11-18,008260,0,1,0.0174,0.1366,-0.0131,0.1221,3860,627681,-1,0.0104,3900,0,0.0104,0,-0.0246,18,0.0078,-0.002573238321456839
8257,2024-11-18,002900,0,1,-0.0341,0.2659,-0.0424,0.1353,4825,34252008,-1,-0.0145,4755,3,0.0228,6,-0.0207,42,0.0124,0.0
8256,2024-11-18,002870,0,1,0.0,0.1947,-0.0026,0.1316,860,1262664,-1,0.0,860,0,0.0465,51,0.0,0,0.0256,0.0
8255,2024-11-18,001380,0,1,0.0318,0.2994,0.0021,0.2994,3060,6700092,759,0.085,3320,0,0.183,8,0.0261,1,0.1095,0.09
8254,2024-11-18,000325,0,1,0.0248,0.181,-0.0476,0.181,31000,2833,-1,-0.0113,30650,0,-0.0113,0,-0.0113,0,-0.0113,0.0
8253,2024-11-15,462350,0,2,0.0466,0.1399,0.0396,0.1049,23700,594135,-1,0.0,23700,2,0.0,0,-0.0527,4,-0.0232,0.0
8252,2024-11-15,451760,0,2,0.0493,0.2422,0.0404,0.1776,13130,2016786,-1,-0.0335,12690,8,-0.0053,55,-0.0708,21,-0.0137,0.0
8251,2024-11-15,357880,0,2,0.0193,0.2782,0.0013,0.1561,1733,9443247,-1,0.0242,1775,2,0.2868,37,0.0242,0,0.2752,0.15
8250,2024-11-15,351870,0,2,-0.003,0.2995,-0.0227,0.2995,8590,751432,598,0.0943,9400,0,0.2119,16,0.0885,0,0.1676,0.09
8249,2024-11-15,230240,0,2,0.0214,0.1728,-0.0315,0.111,8810,128782,-1,0.0011,8820,1,0.076,47,0.0011,0,0.0499,0.0
8248,2024-11-15,226950,0,2,0.0253,0.1616,0.0253,0.101,21800,733211,-1,-0.0069,21650,5,0.0344,12,-0.0298,44,-0.0275,0.0
8247,2024-11-15,211050,0,2,0.0136,0.2554,0.0039,0.1267,5780,1060357,-1,0.0017,5790,0,0.0813,27,-0.0381,7,0.0311,0.0
8246,2024-11-15,208640,0,2,0.0,0.2991,0.0,0.2991,304,1083405,5,0.2993,395,0,0.2993,0,0.2993,0,0.2993,0.0
8245,2024-11-15,145170,0,2,0.1564,0.3,0.0615,0.3,15210,2998781,619,-0.0217,14880,3,0.1552,48,-0.0467,8,0.1197,0.0
8244,2024-11-15,105550,0,2,0.0,0.1456,0.0,0.1398,2975,2005785,-1,-0.0134,2935,0,0.0571,28,-0.0151,0,0.0521,0.0
8243,2024-11-15,083650,0,2,0.0197,0.1301,-0.0148,0.1111,15800,8285121,-1,-0.0165,15540,8,-0.0019,42,-0.0411,18,-0.0222,0.0
8242,2024-11-15,058970,0,2,0.0197,0.1382,0.0,0.1102,67500,583682,-1,0.0,67500,0,0.037,50,-0.0059,23,0.0178,0.0
8241,2024-11-15,054920,0,2,0.0273,0.2983,0.0021,0.2983,3090,4783720,534,0.0405,3215,2,0.0906,38,-0.0291,11,0.021,-0.05
8240,2024-11-15,046970,0,2,0.0574,0.2992,0.0574,0.1518,1305,28348090,21,0.0,1305,4,0.0038,1,-0.0536,18,-0.0475,0.0
8239,2024-11-15,042940,0,2,0.0,0.1431,-0.0018,0.1284,6150,92510,-1,0.0,6150,0,0.0065,4,-0.0472,52,-0.0472,0.0
8238,2024-11-15,042000,0,2,0.0,0.1261,0.0,0.1024,30150,1252680,-1,-0.0149,29700,2,0.01,23,-0.0282,8,-0.0083,0.0
8237,2024-11-15,041920,0,2,0.0,0.1335,0.0,0.1065,4310,287716,-1,0.0093,4350,0,0.0232,9,-0.0023,20,0.0116,0.0
8236,2024-11-15,030520,0,2,0.0231,0.2116,0.0231,0.1834,23100,9173411,-1,-0.0216,22600,4,0.0649,55,-0.026,0,0.0498,0.0
8235,2024-11-15,027360,0,2,0.1939,0.2985,0.0608,0.2985,3415,34733294,412,-0.06,3210,13,-0.0351,31,-0.0996,6,-0.0776,0.0
8234,2024-11-15,017000,0,2,-0.0018,0.2574,-0.0018,0.1746,3195,1494809,-1,-0.0704,2970,0,-0.0313,0,-0.0908,2,-0.0626,0.0
8233,2024-11-15,001840,0,2,0.049,0.2994,0.049,0.1676,3100,10496912,43,0.0,3100,2,0.0065,0,-0.0984,59,-0.0984,0.0
8232,2024-11-15,760016,2,1,0.0,0.105,0.0,0.105,24840,3631,-1,0.0,24840,0,0.0,0,-0.0199,50,-0.0199,0.0
8231,2024-11-15,277640,1,1,0.0,0.1203,-0.0017,0.1203,13500,1265,-1,-0.103,12110,0,-0.103,0,-0.113,59,-0.113,0.0
8230,2024-11-15,272210,0,1,0.0204,0.1227,0.0019,0.1097,29850,9923012,-1,-0.0285,29000,2,-0.0134,7,-0.0737,27,-0.0553,0.0
8229,2024-11-15,178920,0,1,0.0154,0.1241,-0.0117,0.1241,18210,108019,-1,-0.0692,16950,1,-0.0692,0,-0.1098,47,-0.1087,0.0
8228,2024-11-15,137310,0,1,0.0558,0.1701,0.0558,0.1383,8970,1362059,-1,-0.0033,8940,0,0.0123,11,-0.0111,0,0.0033,0.0
8227,2024-11-15,042660,0,1,0.0074,0.1672,0.0074,0.1598,39200,19704114,-1,0.0102,39600,11,0.0472,17,-0.0332,28,-0.0064,-0.016432389625816612
8226,2024-11-15,014280,0,1,0.0,0.2249,-0.0096,0.1124,4650,3522276,-1,-0.043,4450,2,-0.0376,0,-0.0613,10,-0.0602,0.0
8225,2024-11-15,013360,0,1,0.045,0.272,-0.0193,0.1312,1759,13291929,-1,-0.0199,1724,0,-0.0199,0,-0.116,3,-0.0773,0.0
8224,2024-11-15,009440,0,1,0.0012,0.2708,0.0012,0.1169,965,1226410,-1,-0.028,938,8,0.0176,10,-0.028,0,-0.0114,0.0
8223,2024-11-15,006805,0,1,0.0,0.2992,-0.0024,0.2992,5450,2298915,705,-0.0239,5320,0,0.0899,37,-0.0697,14,-0.0349,0.0
8222,2024-11-15,006800,0,1,0.0111,0.1406,0.0062,0.1097,9000,2976863,-1,-0.0467,8580,4,-0.0244,1,-0.0833,55,-0.0811,0.0
8221,2024-11-15,004960,0,1,0.0075,0.1128,0.0075,0.1128,7400,708799,-1,-0.0014,7390,0,-0.0014,0,-0.0716,34,-0.0486,0.0
8220,2024-11-15,002410,0,1,0.0,0.2975,0.0,0.2975,2290,4112729,31,0.0786,2470,1,0.2445,16,0.0262,0,0.0895,0.09
8219,2024-11-15,001260,0,1,0.025,0.2734,-0.0474,0.1236,9000,2274169,-1,0.0,9000,1,0.0544,45,-0.0733,25,-0.0478,0.0
8218,2024-11-14,900340,0,2,0.0321,0.2224,0.0321,0.1748,2345,8428983,-1,0.0171,2385,5,0.0213,0,-0.0405,16,0.0107,-0.05
8217,2024-11-14,299660,0,2,-0.0114,0.2995,-0.0596,0.2995,5120,7560612,644,0.0684,5470,7,0.2305,14,0.0156,0,0.168,0.09
8216,2024-11-14,257370,0,2,-0.0133,0.2999,-0.0133,0.2999,4400,374500,53,0.1545,5080,0,0.1795,18,0.0386,58,0.0568,-0.1
