,date,shcode,etf,gubun,ytDiffO,ytDiffH,ytDiffL,ytDiff,ytClose,ytVolume,ytULPi,tdSDiff,tdOpen,noNEWS,30m(MAX),30m(MAXi),30m(MIN),30m(MINi),30m(CLOSE),value
8215,2024-11-14,215100,0,2,-0.0144,0.2536,-0.0196,0.1059,4230,13748014,-1,-0.0189,4150,5,-0.0083,1,-0.0591,51,-0.0532,0.0
8214,2024-11-14,160190,0,2,-0.038,0.2022,-0.0503,0.1184,10010,10976403,-1,0.0549,10560,5,0.1429,15,0.049,0,0.0669,0.011375485828040599
8213,2024-11-14,158430,0,2,0.005,0.1897,0.005,0.1332,4510,7382161,-1,0.0122,4565,0,0.0133,0,-0.0288,15,-0.0033,-0.015313179213594097
8212,2024-11-14,128540,0,2,0.0135,0.2998,0.0042,0.2998,1539,6119948,43,-0.0578,1450,1,-0.0312,4,-0.1105,24,-0.1001,0.0
8211,2024-11-14,119850,0,2,0.0401,0.2348,0.0401,0.1278,7590,13641423,-1,-0.0132,7490,0,0.0356,26,-0.0277,16,0.0264,0.0
8210,2024-11-14,100790,0,2,0.0018,0.2763,-0.0071,0.2478,7000,32098623,-1,-0.0086,6940,1,-0.0043,0,-0.0857,56,-0.0829,0.0
8209,2024-11-14,090710,0,2,0.0152,0.2998,0.0152,0.2998,1539,45807355,236,0.0559,1625,2,0.0695,1,-0.0351,36,0.0052,-0.04801591059759447
8208,2024-11-14,078590,0,2,0.0527,0.2982,0.0,0.1636,640,17266040,387,-0.0359,617,0,-0.0359,0,-0.1,49,-0.0891,0.0
8207,2024-11-14,056080,0,2,-0.0098,0.2922,-0.0137,0.1725,5980,7073524,530,0.0,5980,3,0.0,0,-0.0803,14,-0.0619,0.0
8206,2024-11-14,027360,0,2,0.0,0.2988,0.0,0.2988,2630,1794830,5,0.1882,3125,13,0.2167,1,0.0589,59,0.0608,-0.1
8205,2024-11-14,007390,0,2,0.0342,0.1096,0.0228,0.1096,24300,3373191,-1,0.0267,24950,6,0.0267,0,-0.0329,4,-0.0123,-0.05
8204,2024-11-14,168490,0,1,0.0881,0.2956,0.0881,0.2956,206,19622461,17,0.0971,226,0,0.1408,0,-0.1165,56,-0.1165,-0.1
8203,2024-11-14,024890,0,1,0.0241,0.2992,0.0241,0.2992,1294,2639744,15,-0.0502,1229,0,-0.0124,2,-0.1368,44,-0.1244,0.0
8202,2024-11-14,010420,0,1,0.089,0.1381,0.0681,0.1199,1233,2316055,-1,0.0024,1236,0,0.2303,12,-0.0584,59,-0.0584,0.0
8201,2024-11-13,378340,0,2,0.0005,0.153,-0.0437,0.1311,20700,3638104,-1,-0.0169,20350,3,-0.0169,0,-0.0502,58,-0.0478,0.0
8200,2024-11-13,335870,0,2,-0.0271,0.186,-0.0371,0.1577,1967,2021351,-1,-0.001,1965,0,-0.001,0,-0.001,0,-0.001,0.0
8199,2024-11-13,333430,0,2,0.0883,0.2996,0.042,0.2996,4490,18676205,432,0.039,4665,0,0.0423,0,-0.029,53,-0.0256,-0.05
8198,2024-11-13,307870,0,2,0.0326,0.2037,0.0073,0.1222,1377,3935122,-1,0.029,1417,0,0.0748,25,-0.0211,4,0.0472,0.017687074829932037
8197,2024-11-13,217730,0,2,-0.0211,0.2763,-0.0211,0.2316,2340,4726862,-1,0.047,2450,2,0.1795,16,0.0235,1,0.0919,0.04288443170964684
8196,2024-11-13,119850,0,2,-0.0039,0.2992,-0.0376,0.2992,6730,1658810,280,0.0847,7300,0,0.1441,59,0.0267,0,0.1352,0.046556651608739674
8195,2024-11-13,091590,0,2,-0.005,0.2434,-0.0088,0.14,4520,2176759,-1,-0.0398,4340,0,-0.0398,0,-0.115,25,-0.1106,0.0
8194,2024-11-13,083650,0,2,-0.0023,0.1614,-0.0216,0.1614,15040,11747930,-1,0.0585,15920,7,0.0738,1,-0.0106,59,-0.0073,-0.062163438828530926
8193,2024-11-13,063080,0,2,0.0782,0.2989,0.0782,0.2989,28250,1301984,43,0.0407,29400,0,0.0442,0,-0.046,19,-0.023,-0.05
8192,2024-11-13,062970,0,2,0.0653,0.2997,0.0653,0.2997,1891,4856238,196,-0.0048,1882,1,-0.0048,0,-0.0904,35,-0.065,0.0
8191,2024-11-13,037440,0,2,-0.0041,0.2731,-0.0244,0.2548,6180,11284475,-1,-0.0227,6040,1,-0.0065,0,-0.0906,57,-0.0841,0.0
8190,2024-11-13,026150,0,2,-0.005,0.207,-0.0215,0.1242,6790,4452560,-1,0.0191,6920,0,0.0648,17,-0.0398,58,-0.0339,-0.05
8189,2024-11-13,017000,0,2,0.0093,0.2111,-0.0093,0.1148,3010,1549477,-1,-0.015,2965,0,-0.01,0,-0.0698,29,-0.0515,0.0
8188,2024-11-13,015710,0,2,0.013,0.191,0.013,0.1495,4845,6933126,-1,-0.0279,4710,0,-0.0196,0,-0.0516,54,-0.0506,0.0
8187,2024-11-13,001840,0,2,-0.008,0.2988,-0.012,0.2988,3260,2575661,142,0.0123,3300,2,0.0552,0,-0.1089,41,-0.0844,-0.05
