,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
390,2025-06-25,389030,0.012,0.057,-0.02,0.008,248,46,594430,273811,316329,646,913,2545,-0.026,-0.016,-0.096,2,23,543409,257039,286370,411,408,0.089,0.062,11,699,93630,153000,2430,2430,0.0,지니너스
389,2025-06-25,454910,0.069,0.166,0.049,0.117,41,5,4305365,2102903,2135775,44134,49650,66000,0.032,0.033,-0.032,0,47,454252,300898,153354,5091,3238,0.067,0.05,73,699,100730,153000,66600,67600,0.01502,두산로보틱스
388,2025-06-25,357880,0.0,0.204,-0.022,0.017,66,3,19676487,10515152,8668682,25744,28181,2940,-0.014,0.043,-0.027,34,9,1814052,953563,860489,2182,2440,0.072,0.05,19,127,94030,103430,2990,2835,-0.05184,SKAI
387,2025-06-25,347860,0.021,0.04,-0.037,-0.006,2,47,2756849,1570506,1114020,4453,4448,3500,-0.004,0.16,-0.023,39,11,3043117,1385650,1530127,5004,5738,0.1,0.07,3,184,93230,110300,3810,3540,-0.07087,알체라
386,2025-06-25,340810,0.01,0.024,-0.025,-0.015,18,516,786491,475032,283533,2056,2021,5860,-0.009,0.075,-0.022,31,8,828087,430475,397612,2360,2801,0.099,0.07,5,509,93330,134530,6090,5670,-0.06897,시선AI
385,2025-06-25,335870,0.0,0.039,-0.026,0.014,0,21,61957,19978,41712,131,163,2110,0.021,0.021,-0.038,0,49,12800,11336,1464,49,12,0.062,0.05,4,699,93300,153000,2110,2080,-0.01422,윙스풋
384,2025-06-25,317530,0.052,0.052,-0.011,0.015,0,3,6223,2360,3014,103,139,4970,0.036,0.036,-0.044,0,39,5897,5317,580,86,32,0.084,0.059,572,699,141700,153000,4995,4895,-0.02002,캐리소프트
383,2025-06-25,37550K,0.087,0.087,0.018,0.038,0,422,9560,5898,2938,138,145,23300,0.103,0.109,0.041,0,44,16588,10372,6216,281,228,0.066,0.05,167,699,105430,153000,25250,25300,0.00198,DL이앤씨우
382,2025-06-25,375500,0.048,0.057,0.005,0.045,3,40,564471,284015,267967,12821,16022,48400,0.182,0.2,0.122,5,16,1093979,482557,590694,10557,13120,0.07,0.05,164,699,105300,153000,56700,55400,-0.02293,DL이앤씨
381,2025-06-25,286750,0.006,0.019,-0.04,-0.04,5,753,283644,190776,76200,411,449,2300,-0.039,-0.02,-0.08,0,25,165171,112670,52501,206,260,0.066,0.05,133,699,103730,153000,2205,2275,0.03175,나노실리칸첨단소재
380,2025-06-25,223310,0.223,0.3,0.156,0.3,9,4,3356520,2336114,855494,5452,2911,4550,0.231,0.253,0.121,26,9,2006909,1123912,882997,5888,5811,0.071,0.05,342,403,122200,125230,5480,5210,-0.04927,딥마인드
379,2025-06-25,215380,0.0,0.011,-0.037,0.006,6,102,216909,71642,140782,295,338,1990,-0.0,0.08,-0.0,19,0,212958,90535,122423,361,490,0.081,0.057,27,699,94430,153000,2090,2010,-0.03828,우정바이오
378,2025-06-25,205500,0.017,0.16,-0.026,0.089,149,0,21959126,11386577,9863890,44500,46632,4585,-0.041,-0.012,-0.084,14,49,1240154,705269,534885,1770,1484,0.079,0.055,584,586,142300,142400,4405,4160,-0.05562,넥써쓰
377,2025-06-25,179530,0.15,0.176,-0.006,0.01,5,706,1210687,667085,429200,3831,3606,3160,-0.002,0.038,-0.032,8,26,55361,25937,29424,120,130,0.072,0.05,424,699,130300,153000,3200,3305,0.03281,애드바이오텍
376,2025-06-25,052690,0.007,0.065,-0.031,0.03,161,40,2548533,1239512,1280617,31535,32297,115000,0.031,0.032,-0.052,0,47,482692,328904,153788,7799,5927,0.089,0.062,88,699,101500,153000,115000,114900,-0.00087,한전기술
375,2025-06-25,065060,-0.009,-0.0,-0.084,-0.072,4,588,253837,154773,91081,520,499,1388,-0.022,-0.018,-0.084,4,48,59023,44040,14983,143,104,0.072,0.051,267,699,114430,153000,1329,1327,-0.0015,지엔코
