,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
245,2025-06-17,000155,-0.005,0.044,-0.018,0.017,160,1,72130,39770,30071,3099,3059,446500,0.027,0.03,-0.046,0,43,21268,15472,5796,1013,663,0.08,0.056,39,699,95030,153000,447000,439000,-0.0179,두산우
244,2025-06-16,462860,0.058,0.089,0.003,0.004,0,384,11751849,6354033,4835760,33421,34759,3650,0.037,0.114,0.036,31,0,6821563,2904567,3916996,9048,12125,0.075,0.053,10,122,93600,103200,3955,4255,0.07585,더즌
243,2025-06-16,458650,0.002,0.009,-0.04,-0.036,0,348,102045,82870,16823,1216,680,11530,0.069,0.123,0.059,23,1,294371,153171,141200,2454,2491,0.061,0.05,0,699,93100,153000,12680,12510,-0.01341,성우
242,2025-06-16,444530,0.003,0.004,-0.064,-0.064,4,760,183732,120198,55582,1521,855,11810,0.063,0.063,-0.012,0,43,47707,35230,12477,464,202,0.075,0.053,59,699,100030,153000,12220,12150,-0.00573,심플랫폼
241,2025-06-16,389470,0.008,0.034,-0.054,-0.037,19,538,515668,303144,207739,5333,4565,40900,0.012,0.034,-0.037,2,2,78968,45374,32054,984,779,0.074,0.052,46,699,95400,153000,41200,43500,0.05583,인벤티지랩
240,2025-06-16,347860,0.007,0.025,-0.047,-0.03,15,114,912592,581778,321207,1657,1312,1955,0.133,0.189,0.097,6,30,2452099,1302251,1077986,3426,3161,0.084,0.059,62,105,100200,102330,2260,2450,0.08407,알체라
239,2025-06-16,340930,0.0,0.0,-0.039,-0.036,0,589,205376,134651,68570,457,368,1440,-0.018,-0.018,-0.083,0,46,97952,50200,47752,199,106,0.07,0.05,260,699,114100,153000,1379,1377,-0.00145,유일에너테크
238,2025-06-16,335870,0.246,0.246,-0.086,-0.064,5,506,641600,382698,206112,1945,1774,2345,-0.011,0.036,-0.041,7,50,18102,13175,4927,69,44,0.08,0.056,73,699,100730,153000,2365,2465,0.04228,윙스풋
237,2025-06-16,304100,0.004,0.008,-0.088,-0.061,0,668,1653578,1044292,580066,13443,15131,47250,0.026,0.034,-0.034,0,46,301869,196552,105317,3899,2347,0.07,0.05,8,699,93500,153000,47650,48350,0.01469,솔트룩스
236,2025-06-16,300080,0.011,0.019,-0.026,-0.006,26,616,137877,75636,59503,1529,1009,26800,0.073,0.145,0.065,11,0,340108,164245,167504,3246,3153,0.075,0.053,100,699,102100,153000,29900,30500,0.02007,플리토
235,2025-06-16,377300,0.106,0.139,0.048,0.065,3,105,4840126,2576856,2172711,44391,45929,60400,0.008,0.039,-0.022,22,41,618730,318771,299959,5346,6185,0.062,0.05,407,699,125430,153000,61500,61400,-0.00163,카카오페이
234,2025-06-16,226950,0.011,0.012,-0.089,-0.073,1,624,695556,462062,217995,4868,4960,43550,-0.002,0.008,-0.054,1,50,110858,80333,30525,1117,772,0.066,0.05,309,403,120530,125230,42900,45750,0.06643,올릭스
233,2025-06-16,271980,-0.0,0.002,-0.035,-0.02,1,311,29943,20837,8771,463,493,13100,0.05,0.092,0.024,2,32,90206,53111,37095,921,711,0.066,0.05,26,699,94400,153000,13970,14130,0.01145,제일약품
232,2025-06-16,138610,0.141,0.196,0.046,0.068,21,720,2380398,1364974,985839,20820,19995,28100,0.027,0.041,-0.021,5,49,89124,61253,27871,1004,624,0.064,0.05,319,699,121030,153000,28600,28500,-0.0035,나이벡
231,2025-06-16,084440,0.006,0.016,-0.027,-0.016,359,143,55883,33421,21043,130,148,1188,0.053,0.096,0.002,11,37,136357,51086,85271,221,291,0.094,0.066,11,699,93630,153000,1259,1258,-0.00079,유비온
230,2025-06-16,060850,-0.004,0.005,-0.023,-0.021,159,374,27755,22767,4407,167,102,5510,0.005,0.084,0.005,25,0,40365,19398,20967,450,497,0.078,0.054,43,58,95230,100000,5810,6270,0.07917,영림원소프트랩
229,2025-06-16,060260,-0.0,-0.0,-0.064,-0.059,0,0,490539,325407,138910,1074,713,1759,0.039,0.043,-0.016,1,43,114512,78519,35993,214,108,0.06,0.05,70,699,100600,153000,1796,1799,0.00167,뉴보텍
228,2025-06-16,054180,0.005,0.015,-0.045,-0.015,0,368,3693058,2273685,1344962,637,1157,196,-0.025,0.046,-0.041,13,29,1334740,504308,830432,246,304,0.09,0.063,241,699,113130,153000,199,192,-0.03518,메디콕스
227,2025-06-16,011390,0.031,0.061,-0.045,-0.016,1,516,65727,39673,24352,2200,1510,112800,-0.015,0.002,-0.084,8,50,8379,5736,2643,391,206,0.094,0.066,168,699,105500,153000,109300,111700,0.02196,부산산업
226,2025-06-16,010580,0.065,0.258,-0.046,0.02,636,198,24238925,12861934,10238500,38981,39935,1671,0.071,0.131,0.034,24,42,1555812,901282,654530,6012,6134,0.094,0.066,150,699,104600,153000,1828,1725,-0.05635,에스엠벡셀
225,2025-06-16,043710,0.0,0.084,-0.008,0.072,617,2,135967,47811,78079,198,369,789,0.025,0.139,-0.01,38,19,353047,125040,164538,323,365,0.1,0.07,320,699,121100,153000,854,858,0.00468,서울리거
224,2025-06-16,031860,0.005,0.037,0.001,0.008,0,70,37177,31018,5897,143,79,1165,0.0,0.03,-0.055,24,15,32976,16769,16207,74,67,0.09,0.063,78,699,101000,153000,1163,1192,0.02494,디에이치엑스컴퍼니
223,2025-06-16,026040,0.035,0.13,-0.068,0.056,739,386,2070167,1025170,965814,4638,4968,3365,0.001,0.05,-0.04,7,44,307269,141251,148591,773,712,0.094,0.066,227,699,112430,153000,3420,3550,0.03801,제이에스티나
222,2025-06-16,003280,-0.001,0.298,-0.028,0.298,581,1,146467877,67291546,77275256,81257,103630,2200,0.05,0.055,-0.041,0,32,21642871,12288831,8943327,13025,12713,0.1,0.07,6,80,93400,101100,2240,2080,-0.07143,흥아해운
221,2025-06-16,000440,-0.045,0.3,-0.045,0.3,291,0,3665576,1687390,1948561,21779,24966,21800,0.19,0.197,0.041,0,28,500518,297788,202730,4994,3770,0.1,0.07,1,68,93130,100500,24800,23050,-0.07056,중앙에너비스
220,2025-06-16,000320,-0.002,-0.002,-0.069,-0.06,0,748,216249,131961,78844,1531,1456,21150,0.002,0.007,-0.054,0,15,148223,47311,48465,341,599,0.065,0.05,11,514,93630,134800,20850,22250,0.06715,노루홀딩스
219,2025-06-13,460870,0.016,0.025,-0.017,-0.009,78,687,356722,214159,133507,2166,2232,6390,0.016,0.019,-0.041,0,41,187815,49314,138501,501,467,0.062,0.05,148,699,104500,153000,6370,6610,0.03768,에스엠씨지
218,2025-06-13,405000,0.0,0.016,-0.011,-0.008,7,3,5518,4493,992,118,117,9420,0.018,0.018,-0.04,0,50,1871,1149,722,18,10,0.061,0.05,188,699,110500,153000,9390,9060,-0.03514,플라즈맵
217,2025-06-13,389470,0.007,0.009,-0.062,-0.049,24,223,501578,317506,178398,6176,5039,42450,0.0,0.034,-0.027,9,42,125596,68129,57467,1262,1193,0.063,0.05,1,97,93130,101930,42950,40750,-0.05122,인벤티지랩
216,2025-06-13,377030,-0.011,0.052,-0.046,-0.017,267,23,976703,548464,412777,2055,2154,4375,-0.006,0.007,-0.051,4,41,262381,197844,64537,315,258,0.061,0.05,4,699,93300,153000,4310,4415,0.02436,비트맥스
215,2025-06-13,301300,-0.002,-0.002,-0.035,-0.015,0,228,77590,56358,17231,463,301,5820,0.048,0.064,-0.046,2,34,77845,46227,30545,318,181,0.1,0.07,72,699,100700,153000,5950,5630,-0.05378,바이브컴퍼니
214,2025-06-13,226440,0.017,0.373,-0.119,-0.119,120,760,16561312,1536,29536,30,13,52,0.019,0.019,-0.058,0,50,746758,0,0,0,0,0.082,0.057,119,299,103030,120030,52,49,-0.05769,한송네오텍
213,2025-06-13,217820,0.006,0.009,-0.041,-0.035,0,754,337247,245094,87427,912,751,2620,0.069,0.124,0.006,9,17,422568,225825,182988,1093,1257,0.1,0.07,93,699,101730,153000,2825,2820,-0.00177,원익피앤이
212,2025-06-13,184230,0.016,0.117,-0.047,0.067,70,14,5710636,3195850,2344546,7577,7912,593,0.035,0.037,-0.054,0,37,573756,318293,248364,390,269,0.096,0.067,13,699,93730,153000,595,617,0.03697,SGA솔루션즈
211,2025-06-13,179530,0.011,0.299,-0.023,0.075,105,18,9781616,4535919,3072297,14609,14049,4510,0.052,0.061,-0.084,0,15,1024800,598672,344302,2429,2451,0.1,0.07,1,43,93130,95230,4530,4210,-0.07064,애드바이오텍
210,2025-06-13,214420,-0.001,0.001,-0.021,-0.014,27,163,409256,277088,124757,1797,1372,9670,0.017,0.018,-0.054,0,40,161313,105466,55847,752,505,0.075,0.053,17,699,93930,153000,9580,9520,-0.00626,토니모리
209,2025-06-13,214390,0.0,0.011,-0.005,-0.004,78,730,12190,8851,3085,78,93,5440,-0.05,-0.042,-0.096,0,18,94003,61003,33000,400,271,0.06,0.05,210,699,111600,153000,5110,5060,-0.00978,경보제약
208,2025-06-13,168330,0.04,0.21,0.022,0.1,300,660,778493,1981,725,9,11,5500,-0.011,0.02,-0.101,23,49,341408,206043,135365,1278,983,0.1,0.07,168,699,105500,153000,5360,5110,-0.04664,내츄럴엔도텍
207,2025-06-13,158430,-0.017,0.164,-0.017,0.049,480,0,18421118,9312084,8552098,55298,58852,8070,0.056,0.086,0.016,9,31,2024925,1136040,888885,5536,5145,0.068,0.05,4,111,93300,102630,8550,9140,0.06901,아톤
206,2025-06-13,136150,0.01,0.084,-0.002,0.057,643,10,468852,220352,244633,3815,3999,25900,0.089,0.11,0.046,2,39,326929,209646,117283,3282,2787,0.061,0.05,168,699,105500,153000,28150,27650,-0.01776,원일티엔아이
205,2025-06-13,124500,-0.031,0.128,-0.052,0.076,320,0,2546666,1263942,1199981,9863,10586,22750,0.007,0.011,-0.059,1,42,266579,177838,88741,1136,676,0.075,0.052,14,48,93800,95500,22400,21200,-0.05357,아이티센글로벌
204,2025-06-13,103140,-0.012,0.05,-0.023,0.04,523,0,1063750,479253,527180,14232,15755,87600,0.145,0.161,0.07,1,19,1195212,674502,520710,19567,17673,0.085,0.06,1,35,93130,94830,98700,107200,0.08612,풍산
203,2025-06-13,093240,-0.0,0.187,-0.0,0.131,227,0,6284476,2739504,3346177,6163,7449,2220,0.097,0.099,0.004,0,22,1297594,711397,586197,1581,1539,0.094,0.066,78,118,101000,103000,2360,2585,0.09534,형지엘리트
202,2025-06-13,089150,-0.013,0.073,-0.028,-0.013,475,12,2681030,1421884,1196275,7484,8960,4435,0.027,0.029,-0.041,0,48,302657,221560,81097,1669,1377,0.073,0.051,14,37,93800,94930,4450,4220,-0.05169,케이씨티
201,2025-06-13,082270,0.0,0.133,-0.007,0.131,517,0,927055,355445,505211,7958,12697,67300,0.028,0.031,-0.048,0,29,154161,90770,63391,1851,1613,0.083,0.058,66,699,100400,153000,67400,69800,0.03561,젬백스
200,2025-06-13,080530,0.0,0.015,-0.044,-0.018,428,154,215664,126679,87991,298,341,1518,0.027,0.027,-0.041,0,45,50832,29175,21657,99,38,0.071,0.05,16,699,93900,153000,1520,1475,-0.02961,코디
199,2025-06-13,065060,-0.021,-0.013,-0.09,-0.085,129,8,734150,436419,266386,2373,2402,1730,0.013,0.074,-0.021,6,47,100391,61186,39205,297,244,0.097,0.068,34,699,94800,153000,1795,1703,-0.05125,지엔코
198,2025-06-13,052790,-0.007,0.028,-0.016,-0.006,733,206,31820,11849,19254,169,222,6650,0.027,0.027,-0.036,0,37,11600,4543,7057,118,110,0.066,0.05,148,699,104500,153000,6680,6730,0.00749,액토즈소프트
197,2025-06-13,052400,-0.001,0.006,-0.052,-0.042,6,655,715789,498975,197550,8645,7693,68500,0.026,0.035,-0.026,3,27,210440,129544,80896,3051,2393,0.063,0.05,172,699,105700,153000,69400,69800,0.00576,코나아이
196,2025-06-13,010580,0.009,0.3,0.008,0.3,123,23,7186438,3840609,3216553,13718,16424,1638,0.045,0.096,0.002,6,39,2476256,1419907,1056349,5179,5412,0.093,0.065,521,541,135130,140130,1737,1900,0.09384,에스엠벡셀
195,2025-06-13,006980,0.0,0.014,-0.005,0.009,257,136,6511,2943,3520,102,96,18410,-0.002,-0.002,-0.06,0,17,976,673,64,53,9,0.062,0.05,21,699,94130,153000,17980,18030,0.00278,우성
194,2025-06-13,005810,-0.013,0.019,-0.029,0.014,535,0,141497,61929,66376,1715,2188,39750,0.084,0.121,0.026,2,19,171359,100911,70448,2116,1677,0.092,0.064,17,42,93930,95200,43100,47100,0.09281,풍산홀딩스
193,2025-06-13,004920,0.001,0.1,0.001,0.048,10,0,436452,245677,183473,801,843,1516,-0.003,0.009,-0.059,16,39,41759,27526,14233,163,120,0.072,0.051,6,323,93400,121230,1491,1416,-0.0503,씨아이테크
192,2025-06-13,003530,-0.004,0.223,-0.009,0.142,513,4,31248549,14672979,16199333,38807,55502,6350,-0.0,0.002,-0.055,0,41,2068946,1413625,655321,3070,2516,0.06,0.05,14,398,93800,125000,6230,5920,-0.04976,한화투자증권
191,2025-06-13,012700,-0.01,0.01,-0.038,-0.01,20,607,2570747,1468705,906866,5760,6068,6030,-0.015,-0.013,-0.07,0,29,384919,280171,104748,964,686,0.061,0.05,214,699,111800,153000,5830,5750,-0.01372,리드코프
190,2025-06-12,355150,-0.003,0.058,-0.029,0.054,747,1,244130,113692,123529,1041,1091,10650,0.013,0.039,-0.023,12,46,75593,52706,22887,406,318,0.063,0.05,151,692,104630,151700,10820,11520,0.0647,코스텍시스
189,2025-06-12,332570,0.013,0.298,0.004,0.298,748,1,17775119,9233706,8269193,21491,24739,3590,-0.004,0.096,-0.006,49,6,7964534,3571566,4147449,9804,11441,0.1,0.07,23,699,94230,153000,3795,3690,-0.02767,PS일렉트로닉스
188,2025-06-12,161000,0.008,0.02,-0.009,-0.004,13,157,616887,372711,227874,3342,2678,10690,0.004,0.064,-0.003,42,7,349822,140586,209236,1201,1478,0.067,0.05,15,699,93830,153000,11110,10800,-0.0279,애경케미칼
187,2025-06-12,114450,0.005,0.299,-0.01,0.299,700,7,8378137,4131478,4125546,18225,19916,4065,0.005,0.033,-0.058,9,28,1175562,740274,435288,2515,2323,0.097,0.068,325,699,121330,153000,4060,4000,-0.01478,그린생명과학
186,2025-06-12,097870,0.006,0.006,-0.014,-0.006,0,11,108733,47850,36345,277,284,6970,0.019,0.073,0.012,38,0,206241,85449,120792,527,676,0.061,0.05,13,699,93730,153000,7330,7110,-0.03001,효성오앤비
185,2025-06-12,097800,-0.002,0.11,-0.002,0.092,409,0,1666617,485305,1087015,759,1635,544,-0.004,0.064,-0.004,14,0,621822,379764,242058,394,464,0.068,0.05,426,699,130400,153000,566,551,-0.0265,윈팩
184,2025-06-12,070960,-0.005,-0.002,-0.022,-0.004,19,231,179141,120130,55066,1710,843,4790,0.125,0.171,0.088,33,11,1758426,915048,843378,3631,4105,0.077,0.054,6,699,93400,153000,5470,5240,-0.04205,모나용평
183,2025-06-12,052690,0.007,0.026,-0.009,0.016,690,6,1360603,685910,649702,9288,11781,71400,0.108,0.174,0.099,13,1,2497408,1205681,1291727,25123,26372,0.068,0.05,60,91,100100,101630,81900,87500,0.06838,한전기술
182,2025-06-12,083660,0.0,0.02,-0.057,0.001,491,133,240675,123231,112529,713,848,1129,-0.004,0.062,-0.013,18,19,30151,13933,16218,139,146,0.076,0.053,88,614,101500,143800,1167,1257,0.07712,CSA 코스믹
181,2025-06-12,025620,0.003,0.074,-0.018,0.053,700,387,145840,71274,72122,749,916,9020,-0.013,-0.004,-0.074,13,48,41100,31766,9334,216,136,0.075,0.053,545,699,140330,153000,8750,8600,-0.01714,제이준코스메틱
180,2025-06-12,045970,-0.003,0.007,-0.026,-0.0,478,12,69008,37607,30353,398,399,3690,0.024,0.103,0.02,44,0,68928,21360,47568,234,407,0.081,0.057,1,699,93130,153000,3955,3810,-0.03666,코아시아
179,2025-06-12,044490,0.002,0.09,-0.015,-0.007,35,524,1788345,1041464,692106,11713,11416,29100,0.077,0.131,0.06,8,4,830233,382054,448179,5937,6515,0.066,0.05,53,188,95730,110500,32150,34300,0.06687,태웅
178,2025-06-12,036000,-0.036,0.3,-0.038,0.23,671,0,5669954,2935705,2470174,10773,10884,4040,-0.022,0.045,-0.025,32,0,301322,154482,146840,807,821,0.071,0.05,61,699,100130,153000,4115,4130,0.00365,예림당
177,2025-06-12,033340,-0.012,0.058,-0.03,0.015,337,184,12947118,6418475,5413929,10713,11233,1209,0.227,0.233,0.132,0,15,14190439,7892909,6297530,10719,10664,0.08,0.056,12,463,93700,132230,1444,1363,-0.05609,좋은사람들
176,2025-06-12,026040,-0.012,0.014,-0.052,-0.028,331,42,994269,486653,333488,3174,3522,3185,0.141,0.148,0.077,0,3,1257810,652732,605078,2498,2417,0.066,0.05,12,35,93700,94830,3570,3390,-0.05042,제이에스티나
175,2025-06-12,019990,0.008,0.044,-0.003,0.037,132,10,360932,173605,168961,1164,1449,7330,0.042,0.146,0.041,17,0,1560838,747933,812905,5461,6253,0.1,0.07,78,154,101000,104800,8110,8930,0.10111,에너토크
174,2025-06-12,000440,-0.001,0.005,-0.001,0.0,1,332,4760,3167,1423,110,90,13370,0.148,0.215,0.142,5,0,224015,123688,100327,2893,2470,0.064,0.05,20,633,94100,144730,15880,16910,0.06486,중앙에너비스
173,2025-06-11,900120,0.0,0.172,0.0,0.052,546,0,37989025,17448399,19548046,19555,12074,61,0.049,0.18,0.033,34,0,10858074,4311449,6069554,2637,1275,0.1,0.07,0,665,93100,150330,69,64,-0.07246,씨엑스아이
172,2025-06-11,412350,0.016,0.041,0.003,0.021,39,0,74871,44208,30351,276,358,3460,0.061,0.064,0.003,0,44,54916,38727,16189,250,156,0.061,0.05,191,699,110630,153000,3600,3490,-0.03056,레이저쎌
171,2025-06-11,323230,-0.795,-0.795,-0.888,-0.882,0,660,21033258,81313,61676,12,21,19,-0.105,-0.105,-0.158,0,50,1612305,0,0,0,0,0.062,0.05,239,240,113030,113100,18,20,0.11111,엠에프엠코리아
170,2025-06-11,294570,-0.035,-0.02,-0.116,-0.081,1,188,926157,528673,350074,8822,8793,32900,-0.006,0.009,-0.053,2,17,131825,88380,43445,1464,1070,0.066,0.05,364,699,123300,153000,32450,32100,-0.01079,쿠콘
169,2025-06-11,290690,0.298,0.298,0.187,0.284,0,145,19572810,12739978,6681549,31322,25745,5540,0.108,0.152,0.043,2,40,2427982,1447744,980238,6155,6307,0.1,0.07,41,147,95130,104430,6160,5730,-0.06981,소룩스
168,2025-06-11,36328K,0.165,0.298,0.009,0.122,12,294,1615953,883956,666938,16776,17842,5980,-0.09,0.084,-0.122,15,2,213646,107454,99291,2565,3390,0.1,0.07,61,542,100130,140200,6000,5580,-0.07,티와이홀딩스우
167,2025-06-11,322000,-0.011,0.009,-0.036,-0.026,470,25,677416,379810,280967,7308,7039,47750,0.089,0.129,0.047,3,26,881255,456566,424689,7871,7311,0.078,0.055,54,125,95800,103330,52500,49600,-0.05524,HD현대에너지솔루션
166,2025-06-11,226440,-0.959,-0.959,-0.966,-0.966,0,60,25414224,4298,0,24,0,52,-0.096,-0.096,-0.173,0,50,1794218,0,0,0,0,0.093,0.065,239,299,113030,120030,46,51,0.1087,한송네오텍
165,2025-06-11,205500,-0.021,0.021,-0.076,-0.018,1,210,1893709,991861,837954,3188,3337,3350,0.03,0.095,-0.005,8,23,706542,356804,349738,1074,1196,0.1,0.07,7,699,93430,153000,3540,3550,0.00282,넥써쓰
164,2025-06-11,201490,-0.005,0.299,-0.005,0.299,120,0,15967532,8753264,7126929,16899,18424,2490,0.06,0.074,-0.0,2,10,3185031,1980139,1204892,3686,3821,0.074,0.052,50,699,95600,153000,2605,2535,-0.02687,미투온
163,2025-06-11,122690,0.004,0.038,0.004,0.038,467,0,89355,57830,29510,170,383,2455,0.157,0.157,0.008,0,10,50078,27462,14987,185,143,0.1,0.07,55,699,95830,153000,2700,2720,0.00741,서진오토모티브
162,2025-06-11,110020,-0.015,-0.015,-0.112,-0.096,0,563,259237,184136,72413,684,491,3810,-0.029,0.03,-0.03,21,0,20750,9881,10869,86,79,0.062,0.05,446,699,131400,153000,3840,3925,0.02214,전진바이오팜
161,2025-06-11,103140,0.021,0.167,0.017,0.167,760,0,2586700,1048675,1487044,34425,39616,77000,0.078,0.123,0.045,4,37,578767,348414,230353,8559,7692,0.075,0.052,629,699,144530,153000,84300,84200,-0.00119,풍산
160,2025-06-11,089150,0.017,0.034,-0.084,-0.052,0,23,2534395,1498722,913964,14347,14671,4355,-0.047,0.064,-0.048,22,0,1201252,631756,569496,2825,3113,0.1,0.07,20,125,94100,103330,4445,4890,0.10011,케이씨티
159,2025-06-11,019175,-0.057,0.054,-0.091,-0.085,285,34,193905,107934,71389,2484,2435,29000,0.026,0.212,0.0,28,1,105544,49148,52505,1213,1457,0.1,0.07,5,699,93330,153000,32750,34900,0.06565,신풍제약우
158,2025-06-11,065060,-0.001,0.097,-0.089,-0.089,8,760,2098153,1212823,845114,5371,5798,1694,0.145,0.145,0.012,0,47,635736,416558,219178,2546,2769,0.1,0.07,398,472,125000,132700,1853,2040,0.10092,지엔코
157,2025-06-11,053300,0.028,0.059,-0.074,-0.013,5,21,10492827,5075448,4306597,19824,22227,7700,-0.017,0.122,-0.018,24,0,5829970,2663003,2898894,13490,15537,0.1,0.07,20,119,94100,103030,8230,9060,0.10085,한국정보인증
156,2025-06-11,052400,-0.036,-0.027,-0.112,-0.047,0,26,2474735,1377334,1057150,28435,30769,71300,0.042,0.049,-0.038,1,16,373254,234309,138945,4848,4536,0.09,0.063,362,699,123200,153000,72500,71500,-0.01379,코나아이
155,2025-06-11,043200,0.006,0.034,0.006,0.006,120,0,1249551,1561,11694,3,12,1288,0.258,0.3,0.188,5,43,11641675,6850131,4791544,10495,10912,0.026,0.05,53,499,95730,134030,1619,1663,0.02718,파루
154,2025-06-11,039560,-0.01,0.017,-0.024,0.004,639,63,182984,99859,69120,424,421,2890,0.042,0.118,0.04,9,0,269641,131391,138250,872,915,0.075,0.052,196,699,110900,153000,3145,3095,-0.0159,다산네트웍스
153,2025-06-11,036120,-0.0,0.048,-0.012,0.022,122,38,795369,414297,349172,1067,1009,2550,0.071,0.104,0.01,0,50,767797,444502,323295,1456,1652,0.093,0.065,432,699,130700,153000,2725,2695,-0.01101,서울평가정보
152,2025-06-11,03481K,0.001,0.065,-0.03,-0.001,8,193,14756,8447,5940,266,293,7950,0.001,0.039,-0.02,2,30,2381,1187,1194,54,55,0.06,0.05,630,699,144600,153000,8090,8160,0.00865,해성산업1우
151,2025-06-11,019660,0.0,0.048,0.0,0.027,480,0,40453,18997,16461,204,161,2880,0.01,0.069,-0.028,11,22,19480,12129,7351,77,73,0.1,0.07,439,699,131030,153000,2975,3050,0.02521,글로본
150,2025-06-10,487570,0.005,0.062,0.005,0.062,760,1,125109,0,0,0,0,65600,0.114,0.152,-0.018,1,14,212803,131307,79888,4296,3298,0.1,0.07,192,473,110700,132730,71300,66300,-0.07013,HS효성
149,2025-06-10,462860,0.02,0.273,0.005,0.237,735,16,38327176,18046693,19280383,42861,52759,3395,0.0,0.013,-0.066,0,11,3462732,2229781,1232951,4328,4004,0.085,0.06,31,699,94630,153000,3340,3330,-0.00299,더즌
148,2025-06-10,373170,0.008,0.026,-0.003,0.023,344,75,15427,6621,7759,135,222,8930,-0.012,0.03,-0.037,18,15,2991,1860,880,44,31,0.07,0.05,623,699,144230,153000,8980,8790,-0.02116,엠아이큐브솔루션
147,2025-06-10,377300,0.076,0.299,0.058,0.299,125,0,3276130,1537314,1690785,29723,26923,49500,0.151,0.156,0.071,0,13,1962811,1095745,867066,21089,15501,0.079,0.055,8,699,93500,153000,55700,57400,0.03052,카카오페이
146,2025-06-10,36328K,0.012,0.3,0.012,0.3,157,0,608012,318905,265934,3899,4294,5330,0.278,0.298,0.169,2,50,307206,186461,120745,2565,2423,0.032,0.05,439,458,131030,132000,6660,6330,-0.04955,티와이홀딩스우
145,2025-06-10,363280,0.035,0.13,0.028,0.073,157,0,852507,415116,431938,2103,2521,3220,0.053,0.059,-0.003,2,19,155140,99718,55422,512,378,0.062,0.05,91,486,101630,133400,3335,3165,-0.05097,티와이홀딩스
144,2025-06-10,168330,0.012,0.299,-0.008,0.299,745,8,3186778,1467717,1601966,10567,13142,4300,0.042,0.042,-0.03,0,50,103605,0,0,0,0,0.074,0.052,179,699,110030,153000,4365,4275,-0.02062,내츄럴엔도텍
143,2025-06-10,18064K,-0.033,0.008,-0.099,-0.096,21,729,73893,48092,22048,1261,1019,42500,0.013,0.014,-0.052,2,18,12705,7628,5077,263,165,0.069,0.05,1,699,93130,153000,42050,42300,0.00595,한진칼우
142,2025-06-10,125020,0.005,0.019,-0.039,-0.016,5,103,1844639,1072613,696613,3710,4409,6230,0.096,0.122,0.042,2,49,2652846,1490447,1162399,7692,8121,0.077,0.054,312,699,120700,153000,6810,6650,-0.02349,티씨머티리얼즈
141,2025-06-10,094480,0.109,0.3,0.094,0.3,62,6,13307465,6195681,7025441,49915,46753,12150,0.021,0.021,-0.07,0,17,3326959,2038459,1273101,9225,10033,0.098,0.069,87,699,101430,153000,11990,12850,0.07173,갤럭시아머니트리
140,2025-06-10,084110,0.008,0.087,-0.036,0.043,639,104,131742,50335,80149,2034,1512,52800,0.002,0.023,-0.049,2,40,22091,12627,9464,425,314,0.076,0.053,8,699,93500,153000,52600,52800,0.0038,휴온스글로벌
139,2025-06-10,071460,-0.91,-0.884,-0.914,-0.904,120,300,21993151,66454,21770,11,23,59,-0.102,-0.102,-0.186,0,50,2013775,0,0,0,0,0.1,0.07,119,179,103030,110030,52,48,-0.07692,위니아
138,2025-06-10,066790,-0.0,0.03,-0.022,0.014,756,136,1376296,660453,505987,1699,1593,1349,0.09,0.182,0.089,16,0,4929109,2391861,2395538,4969,4971,0.086,0.06,14,174,93800,105800,1547,1454,-0.06012,씨씨에스
137,2025-06-10,065060,0.136,0.235,-0.111,-0.081,4,749,4039313,2350158,1446317,10693,11913,1860,0.072,0.081,0.008,0,47,576031,393332,182699,1493,1269,0.072,0.05,8,70,93500,100600,1959,1860,-0.05054,지엔코
136,2025-06-10,064260,0.196,0.299,0.191,0.299,8,1,30928496,15149624,15609397,45274,46979,4565,0.124,0.154,0.065,5,13,8882909,4814823,4068086,15017,14915,0.084,0.059,13,586,93730,142400,5120,5560,0.08594,다날
135,2025-06-10,060370,0.095,0.296,0.069,0.269,545,6,6166767,2938013,3134525,31550,37311,25950,0.195,0.196,0.056,0,27,1470131,888224,569124,10364,8791,0.1,0.07,57,699,95930,153000,29650,28500,-0.03879,LS마린솔루션
134,2025-06-10,058450,-0.009,0.007,-0.041,-0.039,2,425,39803,25902,10479,96,80,1082,0.063,0.079,0.017,9,31,15781,6611,9170,22,25,0.061,0.05,59,699,100030,153000,1142,1144,0.00175,한주에이알티
133,2025-06-10,053300,0.126,0.299,0.103,0.26,699,4,27001030,12841026,12991841,51995,62923,7800,-0.004,0.01,-0.074,1,11,2250010,1338980,826809,4941,4274,0.091,0.064,578,699,142000,153000,7630,7700,0.00917,한국정보인증
132,2025-06-10,046440,0.024,0.068,0.014,0.057,286,0,398098,188170,200286,1187,1304,4800,0.041,0.048,-0.031,0,15,135745,82757,52988,527,319,0.082,0.057,73,699,100730,153000,4885,4870,-0.00307,KG모빌리언스
131,2025-06-10,003535,0.043,0.144,0.043,0.137,60,0,64983,72,0,2,0,7950,0.018,0.048,-0.013,3,28,26286,17087,9199,158,158,0.061,0.05,11,699,93630,153000,8160,8310,0.01838,한화투자증권우
