,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,volTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
2622,2025-02-04,123010,0.006,0.019,-0.078,-0.03,589,46,1646745,801754,771812,1991,2406,1442,0.058,0.156,0.018,2781578,0.114,0.08,90,760,94530,153000,1670,1620,-0.02994,아이윈플러스
2621,2025-02-04,042000,-0.022,0.159,-0.024,0.137,244,0,4096008,1954497,2045689,41272,47033,46850,0.006,0.11,0.001,1606846,0.109,0.08,91,760,94600,153000,52200,54200,0.03831,카페24
2620,2025-02-04,027580,0.058,0.264,0.014,0.196,605,26,37344105,17979892,16341920,32738,35587,1415,0.029,0.075,-0.019,11624070,0.096,0.08,636,760,141830,153000,1524,1430,-0.06168,상보
2619,2025-02-03,113810,0.059,0.059,-0.019,0.04,0,187,1591893,932415,565761,1744,2302,1497,-0.031,0.085,-0.031,1031060,0.121,0.08,140,168,101030,102430,1628,1826,0.12162,디젠스
2618,2025-02-03,075970,-0.002,0.004,-0.02,-0.014,1,515,127604,87881,32726,246,175,2745,0.078,0.118,0.027,2090083,0.089,0.08,99,760,95000,153000,3075,2945,-0.04228,동국알앤에스
2617,2025-02-03,065500,0.023,0.052,-0.046,-0.018,11,647,6789336,3757909,2669002,10871,10387,5060,-0.04,0.016,-0.085,2547242,0.11,0.08,98,500,94930,131030,5160,4745,-0.08043,오리엔트정공
2616,2025-02-03,042000,0.01,0.069,-0.01,0.059,174,28,832702,345412,470498,5998,6626,41200,-0.022,0.153,-0.024,1783934,0.118,0.08,90,760,94530,153000,47550,46850,-0.01472,카페24
2615,2025-02-03,168490,0.0,0.016,-0.031,0.008,1,77,1170495,576926,534936,168,423,128,0.039,0.133,0.023,2616282,0.107,0.08,353,434,115700,123730,146,163,0.11644,한국패러랠
2614,2025-02-03,051630,0.033,0.299,0.033,0.293,674,0,4053200,1816110,2125798,8492,11714,4655,0.031,0.074,-0.034,1659492,0.112,0.08,140,760,101030,153000,5010,4910,-0.01996,진양화학
2613,2025-02-03,047400,0.015,0.015,-0.031,-0.031,0,692,272425,183319,68489,557,485,2205,0.1,0.156,0.052,4659002,0.099,0.08,91,760,94600,153000,2555,2510,-0.01761,유니온머티리얼
