,date,shcode,doYD,dhYD,dlYD,dCYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,volTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
284,2025-01-08,299170,0.116,0.116,-0.095,-0.095,4,760,3769886,2017424,1165227,10647,11510,1541,0.097,0.171,0.071,3335352,0.091,0.08,509,760,131500,153000,1822,1760,-0.03403,더블유에스아이
283,2025-01-08,062970,0.229,0.3,0.129,0.3,581,472,14386199,7550425,6442106,40670,48412,9370,-0.05,0.067,-0.077,5846855,0.156,0.08,93,703,94700,145200,10100,9280,-0.08119,한국첨단소재
282,2025-01-08,038880,0.083,0.235,-0.076,-0.065,12,720,48972728,27144805,19058941,20088,24572,271,0.026,0.125,0.007,9632194,0.117,0.08,215,579,104800,135000,308,283,-0.08117,아이에이
281,2025-01-08,038530,0.0,0.009,-0.018,-0.009,138,6,357832,247410,104302,122,258,226,0.013,0.106,0.004,1497571,0.101,0.08,71,112,93600,95630,252,278,0.10317,케이바이오
280,2025-01-08,097230,0.008,0.189,0.003,0.16,515,14,8005549,3824580,4046701,22925,24201,7190,-0.007,0.056,-0.046,1266071,0.106,0.08,68,760,93430,153000,7670,7270,-0.05215,HJ중공업
279,2025-01-07,396470,0.012,0.046,0.006,0.037,19,592,794219,362460,373929,2704,2881,8750,0.033,0.095,-0.014,1021278,0.11,0.08,359,371,120000,120600,9680,8900,-0.08058,워트
278,2025-01-07,123010,0.157,0.299,0.113,0.299,17,6,4845497,1891149,1793063,4719,4759,1940,0.082,0.162,-0.025,10462512,0.098,0.08,585,609,135300,140500,2280,2100,-0.07895,아이윈플러스
277,2025-01-07,082800,0.0,0.018,-0.037,0.003,56,12,707737,413009,272890,2308,2578,7080,0.006,0.137,-0.003,1143732,0.123,0.08,67,760,93400,153000,8130,7940,-0.02337,비보존 제약
276,2025-01-07,011080,-0.025,0.041,-0.031,-0.017,64,676,8089400,4571611,3064655,10265,11963,1140,-0.008,0.091,-0.04,3141839,0.137,0.08,61,70,93100,93530,1256,1429,0.13774,형지I&C
275,2025-01-07,097230,-0.0,0.053,-0.059,0.053,746,26,2126723,1032475,1033934,5089,4985,6200,0.008,0.177,0.003,2347015,0.085,0.08,515,760,131800,153000,7370,7190,-0.02442,HJ중공업
