,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,maxProfit,minProfit,lastProfit,imax,imin,hname,profit
4013,20250701,263050,0.138,0.283,0.026,0.252,468,35,10959473,5671369,4823732,32650,35411,2680,-0.088,-0.037,-0.093,0,17,338469,209106,129363,696,553,79,101030,2520,0.123,-0.0119206,0.0654603,121,59,유틸렉스,0.09
4012,20250701,236810,-0.01,0.004,-0.078,-0.078,0,760,2977209,1686987,1000513,5281,5461,3725,0.13,0.15,0.052,4,35,2426647,1574591,852056,6984,4983,265,114330,4125,0.109515,-0.0359394,0.0113333,368,168,엔비티,0.09
4011,20250701,232830,0,0.05,-0.022,0.029,149,7,140993,88191,48888,351,543,2990,0.042,0.084,-0.003,10,42,153276,61455,91821,263,253,4,93300,3125,-0.0068,-0.058,-0.0564,0,190,아이티센피엔에스,-0.048
4010,20250701,214270,0.007,0.299,-0.007,0.299,572,0,9450588,4301483,5007737,16644,22276,3560,-0.029,-0.029,-0.093,0,50,370785,0,0,0,0,59,100030,3370,0.0232226,-0.0168368,-0.002,60,180,FSN,-0.002
4009,20250701,203400,-0.011,0.02,-0.299,-0.297,2,709,14431650,7873324,5468167,40950,41958,9020,0.04,0.091,-0.032,3,19,1501863,855014,646849,4973,5307,69,100530,9390,0.00758466,-0.0637678,-0.0371438,4,408,에이비온,-0.048
4008,20250701,192410,0,0.3,0,0.184,27,0,8171748,4598197,3407405,18173,19004,2150,-0.016,-0.014,-0.088,0,42,308978,199398,109580,618,330,87,101430,2055,0.0636934,-0.028764,-0.028764,317,612,오늘이엔엠,-0.028764
4007,20250701,184230,0,0,-0.025,-0.015,0,23,270882,130722,137970,218,392,587,0.02,0.077,-0.003,23,7,252719,97016,155703,172,208,99,102030,610,0.00291803,-0.0380656,-0.0167541,6,557,SGA솔루션즈,-0.0167541
4006,20250701,146060,-0.009,0.03,-0.01,0.028,502,0,51547,26959,24069,158,230,1381,0,0,-0.062,0,43,16220,16143,77,113,8,216,111900,1371,0.00748213,-0.0107527,-0.00127061,396,50,율촌,-0.00127061
4005,20250701,090150,-0.001,0.004,-0.013,-0.001,26,191,70838,45408,24206,78,164,758,0.011,0.062,0,1,2,25355,11555,13800,42,57,3,93230,785,0.00309554,-0.0325732,-0.0160127,0,636,아이윈,-0.0160127
4004,20250701,082270,-0.002,0.02,-0.041,-0.038,365,696,234430,132785,95693,3161,4042,61500,-0.018,-0.016,-0.073,0,37,136263,72274,63989,1332,1534,74,100800,59400,0.0434545,-0.012101,0.035037,484,17,젬백스,0.035037
4003,20250701,069540,0,0.228,-0.034,0.154,685,7,5580928,2586399,2883287,7845,9627,1230,0.101,0.178,0.076,5,50,2682443,1559297,1009661,3295,2632,34,94800,1395,0.0460287,-0.0378423,0.0202222,133,57,빛과전자,0.0202222
4002,20250701,043100,-0.001,0.053,-0.005,0.047,757,0,81957,21474,59659,256,328,4035,0.014,0.022,-0.051,16,13,12976,6371,6605,87,59,69,100530,4015,0.0191706,-0.0306426,-0.00698132,1,14,알파녹스,-0.00698132
4001,20250701,000215,0.014,0.023,-0.014,-0.002,89,53,2605,1873,706,170,66,24300,0.033,0.091,0.029,19,6,5477,1824,3653,107,138,18,94000,25850,0.0154081,-0.0329478,-0.0290793,9,585,DL우,-0.0290793
4000,20250630,950210,0.008,0.146,0.001,0.066,119,0,296634,148579,141206,1667,1981,11870,0.155,0.255,0.152,34,18,600910,298863,280525,3678,3707,19,94030,14420,0.0624938,-0.0248849,0.0174175,57,522,프레스티지바이오파마,0.0174175
3999,20250630,481070,0,0,-0.114,-0.114,0,760,65338,40493,21400,782,603,20550,0.061,0.1,0.019,9,31,24602,15426,9176,244,225,608,143500,21900,-0.002,-0.0202648,-0.00884932,0,87,에이유브랜즈,-0.00884932
3998,20250630,476040,0.016,0.069,-0.039,0.011,11,161,2330689,1296807,975792,25004,22410,35900,-0,0.086,-0,43,0,908164,398666,509498,8208,10549,21,94130,37900,0.0309815,-0.0231082,-0.0138734,147,636,오가노이드사이언스,-0.0138734
3997,20250630,445680,-0.001,0.028,-0.018,0.001,539,71,173553,100457,72231,2721,2585,38950,-0.018,-0.012,-0.076,10,9,40983,29215,10562,468,256,6,93400,38050,0.0374218,-0.0177687,0.0255953,1141,173,큐리옥스바이오시스템,0.0255953
3996,20250630,396300,0.003,0.014,-0.036,-0.025,10,107,1472292,846955,542815,2466,2128,3475,0.013,0.073,0.003,6,37,680730,349991,330739,1283,1276,40,95100,3620,0.0159558,-0.0323867,-0.0240994,4,448,세아메카닉스,-0.0240994
3995,20250630,334970,0.02,0.047,-0.003,0.021,119,3,207998,103107,102869,1225,1388,3400,0.031,0.132,0.029,34,0,515714,240317,255120,1234,1499,25,94330,3720,0.0436989,-0.0409785,-0.0248495,51,387,프레스티지바이오로직,-0.0248495
3994,20250630,321820,0.031,0.052,-0.025,-0.01,281,29,497570,278640,213643,3999,3249,10470,-0.134,-0.131,-0.217,0,4,327501,155809,162390,1537,980,145,104330,8730,0.000290951,-0.047819,-0.0363643,13,476,아티스트컴퍼니,-0.0363643
3993,20250630,321370,-0.005,-0.004,-0.108,-0.091,0,589,3527117,2083914,1346257,5837,4192,1435,0.015,0.023,-0.037,5,20,279766,171157,108609,589,313,59,100030,1437,0.0745484,-0.00756715,0.0258358,233,54,센서뷰,0.0258358
3992,20250630,299900,0.013,0.027,-0.048,-0.039,3,658,1466268,843034,543375,2454,2383,1090,-0.067,-0.019,-0.078,12,1,587206,267438,319768,823,564,23,94230,1035,0.00572947,-0.0300193,-0.00296618,476,95,위지윅스튜디오,-0.00296618
3991,20250630,293780,0.004,0.025,-0.001,-0.001,284,119,63789,34301,28408,400,422,7580,0.174,0.187,0.054,5,24,542679,353015,187308,3500,2735,109,102530,8680,0.0429309,-0.049235,-0.00430415,17,237,압타바이오,-0.048
3990,20250630,291650,0,0.272,-0.011,0.094,344,8,14051658,7502851,6344396,23376,29438,1220,0.018,0.035,-0.027,8,29,527179,378076,149103,1100,878,177,105930,1235,-0.000380567,-0.0538219,-0.0465344,0,450,압타머사이언스,-0.048
3989,20250630,290660,0.007,0.05,0.007,0.05,360,0,381487,2057,3897,1,4,1591,0.04,0.144,0.009,2,33,596068,301364,231818,1121,1027,5,93330,1738,0.0814292,-0.0583867,-0.0238642,192,135,네오펙트,-0.048
3988,20250630,277410,0.011,0.163,-0.007,0.026,130,5,6853288,3870240,2717691,9415,9375,1385,0.01,0.072,0.006,10,0,428622,228455,200167,682,721,77,100930,1443,0.109573,-0.041501,-0.029027,57,464,인산가,0.09
3987,20250630,263050,-0,0.298,-0.002,0.298,73,0,3350408,1721072,1542673,5020,6188,2140,0.091,0.194,0.026,16,25,2605742,1335605,1213583,5451,5700,40,95100,2395,0.132447,-0.0604551,0.116998,367,149,유틸렉스,-0.048
3986,20250630,217270,-0.01,0.033,-0.052,-0.014,537,396,585612,284439,284770,2485,2495,8580,0.05,0.085,0.016,3,50,134528,78705,55823,578,504,61,100130,9080,0.0233304,-0.0218238,-0.0174185,213,47,넵튠,-0.0174185
3985,20250630,200350,0.044,0.134,0.02,0.032,280,34,1677169,885837,773404,12704,12385,15280,-0.178,-0.178,-0.242,0,7,435854,273693,162161,2971,1833,154,104800,12200,0.0135738,-0.052,-0.052,45,1064,아티스트스튜디오,-0.048
3984,20250630,199430,0.075,0.199,-0.025,-0.006,85,673,4320104,2327360,1906023,25329,23655,9240,0.103,0.136,0.056,14,30,468880,248011,220869,2648,2694,51,95630,10170,0.0107827,-0.0383815,-0.0314985,0,506,케이엔알시스템,-0.0314985
3983,20250630,179530,-0.047,0.062,-0.047,-0.015,16,0,609988,353644,234190,1551,1541,3350,0.022,0.054,-0.082,5,45,181582,120075,61507,487,347,606,143400,3345,-0.0064843,-0.0438535,-0.0393692,3,66,애드바이오텍,-0.0393692
3982,20250630,123690,-0.014,-0.001,-0.041,-0.026,88,425,418362,241744,125262,1609,1483,8350,0.03,0.091,0.028,8,0,1578399,805346,773053,5712,5865,107,102430,8870,0.107357,-0.0166561,0.0340767,242,30,한국화장품,0.09
3981,20250630,115610,0.002,0.01,-0.07,-0.037,0,690,394835,245925,137820,811,578,1156,0.08,0.242,0.062,9,2,913498,427782,450678,2122,2371,88,101500,1331,-0.00275131,-0.114697,-0.107935,0,590,이미지스,-0.048
3980,20250630,103140,0.005,0.072,-0.01,0.038,121,12,1180391,567337,596387,22289,23789,136400,-0.03,-0.029,-0.084,0,46,139498,100616,38882,2953,2195,10,93600,129300,0.0181083,-0.0298422,-0.00664037,427,131,풍산,-0.00664037
3979,20250630,090710,0.034,0.285,0.022,0.237,717,4,120500447,56159862,60723732,112942,146816,3130,0.086,0.152,0.085,5,0,16410164,8848734,7561430,23657,25877,25,94330,3525,0.00792908,-0.0417163,-0.0105106,25,163,휴림로봇,-0.0105106
3978,20250630,058650,0,0.01,-0.02,-0.015,96,654,1995,1504,465,95,61,107000,0.09,0.252,0.078,26,8,9039,4186,4237,538,511,213,111730,125300,0.00119234,-0.0363176,-0.00998085,22,224,세아홀딩스,-0.00998085
3977,20250630,079950,-0.002,0.013,-0.033,-0.017,45,718,111464,70928,32778,238,308,623,0.018,0.018,-0.05,0,30,54049,37533,16516,82,49,199,111030,620,0.0173548,-0.0278065,0.00606452,473,275,인베니아,0.00606452
3976,20250630,024720,0.011,0.216,0,0.189,748,7,17139697,8820428,8207178,108757,115234,17730,0.008,0.125,0.005,34,2,4251849,2091255,2160594,26926,30048,11,93630,19130,0.00322739,-0.0574104,-0.0537512,181,1202,콜마홀딩스,-0.048
3975,20250630,020760,0.015,0.299,0.009,0.299,41,0,5470870,2787645,2537671,4458,6635,981,0.096,0.12,0.02,0,15,1476807,896266,580541,2086,1907,0,93100,1052,0.0331711,-0.0666388,-0.0257643,37,238,일진디스플,-0.048
3974,20250630,060570,0.001,0.017,-0.013,-0.013,214,713,101496,48904,37209,449,374,1691,0.03,0.14,0.011,23,2,308831,154359,120254,696,739,81,101130,1844,0.0126421,-0.0334534,-0.0014577,388,251,드림어스컴퍼니,-0.0014577
3973,20250630,052300,0.05,0.052,-0.02,-0.005,0,371,238771,138744,98356,650,602,3285,0.006,0.065,0.005,17,0,80838,48530,32308,209,198,355,122830,3395,0.00683652,-0.0329278,-0.0240913,1,61,오션인더블유,-0.0240913
3972,20250630,048770,0.013,0.148,-0.002,0.141,109,37,754024,339241,349472,1721,2149,2200,0.002,0.064,-0.007,4,41,149890,76998,72892,481,433,45,95330,2265,-0.00420751,-0.0770552,-0.0505651,0,644,TPC,-0.048
3971,20250630,046120,0.16,0.235,-0.087,-0.051,5,603,13569681,7717895,5153813,32359,28648,5050,-0.072,-0.038,-0.099,22,2,1052723,585461,392786,1971,1924,6,93400,4725,0.00329101,-0.0453862,-0.0432698,157,685,오르비텍,-0.0432698
3970,20250630,032860,0.004,0.061,-0.013,-0.012,377,6,58522,23665,26561,160,324,1145,0.1,0.144,0.012,3,7,129242,64388,30342,252,214,447,131430,1222,0.00290998,-0.0273682,-0.0249133,4,146,더라미,-0.0249133
3969,20250630,032820,0.025,0.062,0.008,0.055,249,24,19432261,8203456,10496012,17852,26854,4425,0.043,0.166,0.04,15,0,12852144,6317167,6534977,15675,19814,48,95500,4920,0.0142602,-0.0355366,0.0142602,615,126,우리기술,0.0142602
3968,20250630,025770,0.006,0.006,-0.099,-0.065,0,434,391017,238506,139680,2833,2902,10130,-0.018,-0.018,-0.084,0,24,65471,47810,17661,536,321,222,112200,9780,0.0153824,-0.0142699,0.00617996,311,129,한국정보통신,0.00617996
3967,20250627,476040,0.029,0.3,0.017,0.195,701,1,6194329,3018765,3041161,53019,59302,35500,0.046,0.069,-0.013,1,42,457981,279971,178010,5502,3977,190,110600,36850,0.0156391,-0.0576309,-0.0277802,50,266,오가노이드사이언스,-0.048
3966,20250627,440110,0.079,0.081,0.008,0.039,0,8,541850,307439,225036,6044,3755,12470,0.017,0.075,0.01,8,41,112229,64655,47574,1319,1080,31,94630,13080,0.0266697,-0.0432844,-0.0302875,46,590,파두,-0.0302875
3965,20250627,435570,0.007,0.102,-0.004,0.028,251,2,1217543,599915,468259,12817,12286,18590,0.151,0.154,0.079,0,41,437294,314199,123095,4289,2786,52,95700,20900,0.000392344,-0.0852536,-0.0833397,1,634,에르코스,-0.048
3964,20250627,418620,-0.034,0.027,-0.062,-0.057,108,709,602062,320169,266986,2170,2523,4060,0.031,0.052,-0.016,4,50,75780,53329,22451,326,288,144,104300,4145,0.209098,-0.0237129,0.102946,476,118,E8,0.09
3963,20250627,376180,-0.016,0.052,-0.039,-0.027,179,36,660738,361201,283607,1908,2208,3015,0.108,0.204,0.103,2,0,2843314,1438891,1404423,5893,6364,30,94600,3510,0.037886,-0.104564,-0.0917436,33,554,피코그램,-0.048
3962,20250627,277410,-0.001,0.212,-0.005,0.066,512,26,21173121,11783074,9097274,30434,33635,1350,0.007,0.111,0.007,12,0,2055280,1101711,953569,2913,3268,12,93700,1456,0.0584396,-0.0610659,-0.0507637,56,621,인산가,-0.048
3961,20250627,236810,-0.037,0.3,-0.098,0.3,721,173,8781245,4760736,3581696,16224,14322,4225,-0.05,0.06,-0.084,41,5,4120172,2107779,2012393,8668,10071,355,122830,4245,0.133453,-0.0703157,-0.0502921,64,216,엔비티,0.09
3960,20250627,232830,-0.039,-0.028,-0.096,-0.05,0,407,444959,274951,160556,873,900,2915,0.002,0.019,-0.053,33,20,75778,23960,51818,144,131,341,122130,2890,0.0135709,-0.019301,0.00319031,288,78,아이티센피엔에스,0.00319031
3959,20250627,228760,0.006,0.016,-0.017,-0.007,1,240,104583,64391,38812,883,934,12000,0.002,0.008,-0.051,2,46,289228,74304,214924,682,864,357,122930,11860,0.0300405,0.0064317,0.0266678,458,41,지노믹트리,0.0266678
3958,20250627,215100,0,0,-0.108,-0.083,0,359,2704676,1770274,824541,9006,6621,5160,0.004,0.07,0,17,2,1462563,719432,743131,3262,3582,206,111400,5390,0.126015,-0.0131317,0.0221187,210,24,로보로보,0.09
3957,20250627,199430,-0,0.006,-0.085,-0.063,0,307,368058,221923,131995,2625,1819,9300,0.12,0.189,0.082,32,10,1554596,774243,748416,8935,9459,21,94130,10650,0.0299249,-0.150357,-0.134394,4,592,케이엔알시스템,-0.048
3956,20250627,192410,0.023,0.299,0.002,0.107,517,5,7119501,3847999,3093862,12960,14582,1682,0.011,0.068,-0.012,13,50,478078,315600,162478,1056,1134,39,95030,1742,0.0772193,-0.0404615,0.0404799,371,101,오늘이엔엠,0.0404799
3955,20250627,105740,-0,0.025,-0.026,0.013,591,202,165427,86770,75462,802,605,8460,0.028,0.03,-0.031,0,16,39339,29961,9378,249,126,5,93330,8570,0.000333722,-0.0603431,-0.0428401,1,498,디케이락,-0.048
3954,20250627,093240,-0,0.065,-0.014,0.035,11,1,2112942,914184,1147414,2963,9694,2945,0.014,0.095,0.002,37,5,1725835,729785,996050,1789,2512,3,93230,3100,0.0302581,-0.0907097,-0.0600645,68,457,형지엘리트,-0.048
